,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncounts,significant_adj_new
0,0.0027962028188198707,2i (LIF+MEKi+GSK3i),0.004896708172505537,0.0,True,0.0,True,2.221903102532856,1.801289170345156,8.717225,True
1,0.0027962028188198707,control,0.0,0.0,True,0.0,control,2.637620326548052,2.637620326548052,5.4857574,control
2,0.02507208781817638,2i (LIF+MEKi+GSK3i),0.2601708823336537,0.0,True,0.0,True,16.624893457344474,12.95395104543784,78.43153,True
3,0.02507208781817638,control,0.0,0.0,True,0.0,control,20.035664986917276,20.035664986917276,48.91929,control
4,0.06912625135579575,2i (LIF+MEKi+GSK3i),1.7661106720685567,0.0,True,0.0,True,36.113653769633686,27.415584245109805,216.3798,True
5,0.06912625135579575,control,0.0,0.0,True,0.0,control,43.04561262208857,43.04561262208857,134.73921,control
6,0.1339745962155613,2i (LIF+MEKi+GSK3i),5.154638001792293,0.0,True,0.0,True,57.58787422237164,42.92323964881673,419.35608,True
7,0.1339745962155613,control,0.0,0.0,True,0.0,control,67.09787079413412,67.09787079413412,261.15283,control
8,0.2181685175319702,2i (LIF+MEKi+GSK3i),10.54100620764315,0.0,True,0.0,True,83.79613816494415,61.89068600891952,682.88184,True
9,0.2181685175319702,control,0.0,0.0,True,0.0,control,95.16058411332533,95.16058411332533,425.2807,control
10,0.31982726222908053,2i (LIF+MEKi+GSK3i),18.273754930629906,0.0,True,0.0,True,117.6408609535913,86.45299485223762,1001.0221,True
11,0.31982726222908053,control,0.0,0.0,True,0.0,control,130.55497212431635,130.55497212431635,623.5046,control
12,0.43667994193637794,2i (LIF+MEKi+GSK3i),28.459162205831035,0.0,True,0.0,True,157.95087375256867,115.66650981585221,1366.8304,True
13,0.43667994193637794,control,0.0,0.0,True,0.0,control,171.77607548345284,171.77607548345284,851.2363,control
14,0.5661162608824419,2i (LIF+MEKi+GSK3i),41.32202489830965,0.0,True,0.0,True,203.36657898465268,148.2922356018976,1771.9961,True
15,0.5661162608824419,control,0.0,0.0,True,0.0,control,217.1188974690971,217.1188974690971,1103.528,control
16,0.7052448255890957,2i (LIF+MEKi+GSK3i),56.93718603839591,0.0,True,0.0,True,252.82752942206523,183.9797533130808,2207.4082,True
17,0.7052448255890957,control,0.0,0.0,True,0.0,control,264.7381194926537,264.7381194926537,1374.8037,control
18,0.8509577338238256,2i (LIF+MEKi+GSK3i),74.95417034805808,0.0,True,0.0,True,304.0702708228275,221.03968875334678,2663.646,True
19,0.8509577338238256,control,0.0,0.0,True,0.0,control,312.1466825442512,312.1466825442512,1658.6984,control
20,1.0,2i (LIF+MEKi+GSK3i),94.9302241555036,0.0,True,0.0,True,356.33065058528314,258.9334989708107,3130.311,True
21,1.0,control,0.0,0.0,True,0.0,control,358.79757804425196,358.79757804425196,1949.0769,control
