,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
AHR,22.807448115886785,0.0,True,0.0,True,1.3580766955709216
AHR_FEV,141.80932255936943,0.0,True,0.0,True,2.1517047823492077
AHR_KLF1,38.56003985919378,0.0,True,0.0,True,1.5861374741576335
ARID1A,88.11366416529256,0.0,True,0.0,True,1.9450432615498012
ARRDC3,9.055577750809277,0.009,True,0.209476078019737,False,0.9569161637592974
ATL1,72.15603479230745,0.0,True,0.0,True,1.8582726593019534
BAK1,2.7194664840580174,0.673,False,0.895727457448728,False,0.43448371074142544
BCL2L11,2.3667614993656656,0.667,False,0.895727457448728,False,0.374154495897758
BCL2L11_BAK1,3.170787601493089,0.364,False,0.895727457448728,False,0.5011671513336291
BCL2L11_TGFBR2,6.555985347051546,0.035,True,0.4344942651587711,False,0.8166379742301014
BCORL1,6.76342365013042,0.044,True,0.4673885582592518,False,0.8301665917949113
BPGM,27.918222325812195,0.0,True,0.0,True,1.44588776141999
BPGM_SAMD1,67.52867262554284,0.0,True,0.0,True,1.8294882131132253
BPGM_ZBTB1,38.32184598554282,0.0,True,0.0,True,1.5834464211274202
C3orf72,62.43247991461092,0.0,True,0.0,True,1.7954105861220713
C3orf72_FOXL2,71.63715504144506,0.0,True,0.0,True,1.855138330187389
C19orf26,7.098567751639877,0.017,True,0.3023720460128902,False,0.8511707317745346
CBFA2T3,18.45738107874257,0.0,True,0.0,True,1.2661700789359078
CBL,24.68138448117233,0.0,True,0.0,True,1.3923695174223545
CBL_CNN1,168.2777041933041,0.0,True,0.0,True,2.226026578321302
CBL_PTPN9,82.85839609549876,0.0,True,0.0,True,1.9183365223292055
CBL_PTPN12,74.01664787882606,0.0,True,0.0,True,1.8693294125519346
CBL_TGFBR2,49.16429917001847,0.0,True,0.0,True,1.691649852737177
CBL_UBASH3A,54.7220747304367,0.0,True,0.0,True,1.7381625548469064
CBL_UBASH3B,98.88298645996016,0.0,True,0.0,True,1.9951215744872053
CDKN1A,66.41828069775136,0.0,True,0.0,True,1.822287629269841
CDKN1B,27.981878615056928,0.0,True,0.0,True,1.4468768682960764
CDKN1B_CDKN1A,77.82876565381537,0.0,True,0.0,True,1.891140142693565
CDKN1C,60.125728085816775,0.0,True,0.0,True,1.7790603484544545
CDKN1C_CDKN1A,74.90413579434596,0.0,True,0.0,True,1.8745057977138189
CDKN1C_CDKN1B,74.6280700012218,0.0,True,0.0,True,1.8729022102300994
CEBPA,299.96410888503954,0.0,True,0.0,True,2.477069293900792
CEBPB,107.50539670134498,0.0,True,0.0,True,2.031430266100797
CEBPB_CEBPA,240.57128758694472,0.0,True,0.0,True,2.3812437926353542
CEBPB_MAPK1,72.87695176036235,0.0,True,0.0,True,1.862590199017907
CEBPB_OSR2,116.87033593969139,0.0,True,0.0,True,2.067704292406152
CEBPB_PTPN12,52.6262944873059,0.0,True,0.0,True,1.721202791632884
CEBPE,92.91018475552337,0.0,True,0.0,True,1.9680633236888108
CEBPE_CEBPA,229.48021589427668,0.0,True,0.0,True,2.3607452497934998
CEBPE_CEBPB,209.11634097280245,0.0,True,0.0,True,2.3203879712061344
CEBPE_CNN1,45.58398519806482,0.0,True,0.0,True,1.6588122908722398
CEBPE_KLF1,25.04226816226452,0.0,True,0.0,True,1.3986736618285094
CEBPE_PTPN12,25.75020237966413,0.0,True,0.0,True,1.4107806466597725
CEBPE_RUNX1T1,63.58407182766075,0.0,True,0.0,True,1.8033483360301723
CEBPE_SPI1,300.32353212598997,0.0,True,0.0,True,2.477589363074974
CELF2,12.100823752835879,0.007,True,0.17276346017254887,False,1.0828149355341359
CITED1,50.26461715682859,0.0,True,0.0,True,1.7012623790761718
CKS1B,24.816964486633196,0.0,True,0.0,True,1.3947486592204588
CLDN6,75.75011386140011,0.0,True,0.0,True,1.8793832899709182
CNN1,28.562572045084778,0.0,True,0.0,True,1.4557973128622688
CNN1_MAPK1,32.36969434273408,0.0,True,0.0,True,1.510138598510059
CNN1_UBASH3A,120.64673808966126,0.0,True,0.0,True,2.0815155844394915
CNNM4,19.90779110628813,0.0,True,0.0,True,1.299023075016413
COL1A1,67.25182060044011,0.0,True,0.0,True,1.8277040457900209
COL2A1,40.016225283396636,0.0,True,0.0,True,1.6022361193849433
CSRNP1,4.066883273104182,0.276,False,0.895727457448728,False,0.609261707547386
DLX2,36.095760114967305,0.0,True,0.0,True,1.5574561917445962
DUSP9,56.99901999685568,0.0,True,0.0,True,1.7558673887669365
DUSP9_ETS2,34.05354429607878,0.0,True,0.0,True,1.5321623200115904
DUSP9_IGDCC3,89.36841566683191,0.0,True,0.0,True,1.95118405878229
DUSP9_KLF1,90.44046068802857,0.0,True,0.0,True,1.9563627658997607
DUSP9_MAPK1,16.523881261240504,0.0,True,0.0,True,1.2181120655242703
DUSP9_PRTG,110.5785914636325,0.0,True,0.0,True,2.043671053648766
DUSP9_SNAI1,148.9009091027579,0.0,True,0.0,True,2.1728973493109804
EGR1,15.94255102603735,0.0,True,0.0,True,1.202557815672841
ELMSAN1,8.28687145704751,0.015,True,0.2936282836464711,False,0.9183906022770386
ETS2,21.808512093136343,0.0,True,0.0,True,1.3386260364276947
ETS2_CEBPE,70.40002706883266,0.0,True,0.0,True,1.8475728261285098
ETS2_CNN1,22.804763552767014,0.0,True,0.0,True,1.3580255736933398
ETS2_IGDCC3,32.64916320358934,0.0,True,0.0,True,1.513872054808007
ETS2_IKZF3,128.9095480906497,0.0,True,0.0,True,2.1102850859298927
ETS2_MAP7D1,29.8751557089185,0.0,True,0.0,True,1.4753101774992188
