,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncounts,significant_adj_new
0,0.0027962028188198707,control,0.0,0.0,True,0.0,control,2.8758350374531023,2.8758350374531023,6.04,control
1,0.0027962028188198707,p-INTERGENIC216151,0.09239531680043322,0.84,False,1.0,False,2.873953254490439,2.7796761547273428,9.4,False (lost)
2,0.0027962028188198707,p-INTERGENIC393453,0.08513307965586625,0.91,False,1.0,False,2.9298657233060643,2.89876332950316,8.94,False (lost)
3,0.0027962028188198707,p-INTERGENIC393453_p-INTERGENIC216151,0.12403056739312301,0.39,False,0.9999999999984399,False,2.8274969002560266,2.655128195665828,8.72,False (lost)
4,0.0027962028188198707,p-INTERGENIC393453_p-sgE2F4-6,0.10674027833582356,0.71,False,1.0,False,2.847710183252008,2.71284505071509,7.7,False (lost)
5,0.0027962028188198707,p-INTERGENIC393453_p-sgE2F4-7,0.15807275967153966,0.2,False,0.9999962585558084,False,3.2174975482257953,3.4010872993269485,7.88,False (lost)
6,0.0027962028188198707,p-INTERGENIC393453_p-sgELF1-2,0.07875462964212332,0.98,False,1.0,False,2.9790530559090875,3.0035164447229494,8.86,False (lost)
7,0.0027962028188198707,p-INTERGENIC393453_p-sgELF1-4,0.135033756293911,0.54,False,1.0,False,3.2796447202347463,3.5484206467224793,7.92,False (lost)
8,0.0027962028188198707,p-INTERGENIC393453_p-sgELF1-5,0.09728272832047402,0.94,False,1.0,False,3.1784373718968673,3.383756978020158,7.34,False (lost)
9,0.0027962028188198707,p-INTERGENIC393453_p-sgGABPA-1,0.11670958986132263,0.45,False,0.9999999999999827,False,2.873852385688883,2.755160144063341,8.08,False (lost)
10,0.0027962028188198707,p-INTERGENIC1144056,0.0863439583573582,0.89,False,1.0,False,2.7439898602046573,2.525800724598854,9.58,False (lost)
11,0.0027962028188198707,p-INTERGENIC1144056_p-INTERGENIC393453,0.07562707540511937,0.95,False,1.0,False,2.700493092597566,2.44952407233691,9.22,False (lost)
12,0.0027962028188198707,p-INTERGENIC1144056_p-sgELF1-2,0.09537399015405912,0.9,False,1.0,False,3.2183876837793686,3.4655663399515757,6.94,False (lost)
13,0.0027962028188198707,p-INTERGENIC1144056_p-sgELF1-5,0.10068481148368535,0.82,False,1.0,False,3.0567463476718766,3.1369728464069655,7.54,False (lost)
14,0.0027962028188198707,p-INTERGENIC1144056_p-sgGABPA-1,0.09650928104928669,0.96,False,1.0,False,3.2273522632256886,3.482360207948988,8.2,False (lost)
15,0.0027962028188198707,p-INTERGENIC1216445,0.0836939121324658,0.92,False,1.0,False,2.6495650710711436,2.339601192556719,8.86,False (lost)
16,0.0027962028188198707,p-INTERGENIC1216445_p-sgELF1-2,0.08848257679375182,0.97,False,1.0,False,2.9778511955802562,2.9913847769136583,7.56,False (lost)
17,0.0027962028188198707,p-sgCREB1-2,0.09865276002929813,0.7,False,1.0,False,2.759102663771733,2.5437175300610657,8.2,False (lost)
18,0.0027962028188198707,p-sgCREB1-2_p-INTERGENIC393453,0.13459374912523137,0.4,False,0.9999999999989525,False,3.172581115816076,3.334733445053818,6.32,False (lost)
19,0.0027962028188198707,p-sgCREB1-4,0.10549196466545974,0.59,False,1.0,False,2.6885601533538255,2.395793304589089,8.84,False (lost)
20,0.0027962028188198707,p-sgCREB1-4_p-INTERGENIC393453,0.10244147630575062,0.92,False,1.0,False,3.3621637479222626,3.746050982085672,6.92,False (lost)
21,0.0027962028188198707,p-sgCREB1-5,0.08147683779793446,0.96,False,1.0,False,2.7722980804799344,2.587284285708832,8.5,False (lost)
22,0.0027962028188198707,p-sgCREB1-5_p-INTERGENIC216151,0.11581962506736998,0.65,False,1.0,False,3.050848137319452,3.1100416121184318,8.14,False (lost)
23,0.0027962028188198707,p-sgCREB1-5_p-INTERGENIC393453,0.1001556243183721,0.83,False,1.0,False,3.0650956745457414,3.1542006873200084,8.14,False (lost)
24,0.0027962028188198707,p-sgE2F4-6,0.08952486018782091,0.89,False,1.0,False,2.758827738396381,2.552295579151839,8.82,False (lost)
25,0.0027962028188198707,p-sgE2F4-6_p-INTERGENIC216151,0.11570868767500064,0.8,False,1.0,False,3.296770998175818,3.601998271223533,6.44,False (lost)
26,0.0027962028188198707,p-sgE2F4-7,0.08182831958686743,0.9,False,1.0,False,2.685493046455516,2.4133227358710623,8.4,False
27,0.0027962028188198707,p-sgEGR1-2,0.08969894313396232,0.91,False,1.0,False,2.8777668430115946,2.7899997054361245,7.6,False
28,0.0027962028188198707,p-sgEGR1-3,0.06731129780731093,0.98,False,1.0,False,2.8369888942420824,2.7308314532237516,7.94,False (lost)
29,0.0027962028188198707,p-sgEGR1-4,0.08939967621655143,0.87,False,1.0,False,2.8820699860494132,2.7989052584291727,8.68,False
30,0.0027962028188198707,p-sgELF1-1,0.06806815253375165,1.0,False,1.0,False,2.750145049069075,2.5563869081512958,8.24,False
31,0.0027962028188198707,p-sgELF1-1_p-INTERGENIC393453,0.142519547135056,0.16,False,0.9999594305993627,False,2.902162130270241,2.7859696759523236,7.38,False (lost)
32,0.0027962028188198707,p-sgELF1-2,0.10160338700674965,0.65,False,1.0,False,2.7614989756568145,2.545559526853778,7.7,False (lost)
33,0.0027962028188198707,p-sgELF1-2_p-INTERGENIC216151,0.0927661564990876,0.91,False,1.0,False,3.045216386119377,3.1218315782865638,8.34,False (lost)
34,0.0027962028188198707,p-sgELF1-4,0.10970222080128567,0.47,False,0.9999999999999954,False,2.6892145624619417,2.3928918666694954,8.98,False
