perturbation,control,IFNGR2g1,ATF2g1,IFNGR1g3,CD86g1,IFNGR2g2,POU2F2g1,JAK2g2,IFNGR1g2,TNFRSF14g1,MARCH8g4,CMTM6g3,TNFRSF14g3,IRF1g4,ETV7g2,CAV1g3,CD86g4,IRF7g1,IRF1g1,MARCH8g2,NFKBIAg1,IFNGR1g1,ATF2g4,NFKBIAg2,IFNGR1g4,STAT1g3,ETV7g1,CD86g3,JAK2g1,STAT2g2,PDCD1LG2g3,TNFRSF14g2,SMAD4g2,IRF1g2,CMTM6g1,SMAD4g1,ATF2g2,CAV1g1,UBE2L6g1,STAT5Ag3,CMTM6g2,STAT2g1,JAK2g4,CD86g2,MARCH8g1,STAT3g3,CAV1g2,IRF1g3,NFKBIAg3,JAK2g3,IRF7g2,STAT5Ag4,STAT5Ag2,IFNGR2g3,MARCH8g3,BRD4g4,PDCD1LG2g1,UBE2L6g2,STAT3g1,PDCD1LG2g4,ETV7g4,CAV1g4,CUL3g1,POU2F2g3,CUL3g2,ETV7g3,STAT5Ag1,UBE2L6g4,POU2F2g2,STAT1g2,BRD4g3,SMAD4g4,STAT2g3,IFNGR2g4,IRF7g3,ATF2g3,PDCD1LG2g2,STAT3g4,STAT3g2,STAT2g4,BRD4g1,SMAD4g3,IRF7g4,STAT1g1
control,0.0,146.21667397550473,8.228542900286385,125.98267232894622,11.061607425030644,82.33159436776648,16.35129931320253,163.58050334239093,97.21929379036814,14.754958389289783,16.154933173166768,9.99753742323557,12.63255559234912,99.48620584606473,14.64952254399563,9.858720148729248,18.66822120691799,19.970086454520555,24.76860912646427,18.802914733851566,11.534594060008175,128.3825527614815,11.058784725817503,14.523710309928816,98.2672799646057,166.45443132290816,15.74727159089727,16.611967264431456,143.6706620179236,24.560415374434427,17.637457728484236,12.883171506086882,104.44890878081131,37.52596878906931,13.82126265158061,72.52321895710278,16.70548536078772,7.480325099020973,20.368474921441276,14.946592843976163,12.073991938297098,28.46075931676083,167.54725760798718,19.562304195906137,11.265308770787072,24.147428835086515,11.328843789921592,72.20577327033325,22.33791312004209,158.78955298767883,13.794068010565667,11.57509880213567,13.254169467532023,129.94604975100074,18.32963590918203,15.430407093090793,8.37427554798532,11.892574231028078,10.28673999869099,9.697162389531655,15.012920556347211,12.5372684051911,22.007312812022548,21.634855545215686,69.29674697047179,10.048330648220514,19.254977257403112,16.322220553493167,17.472420419996553,221.33381833936178,14.975726943177307,47.007634840867894,23.043455839131326,120.07442287151454,17.756779727880115,22.960580467385995,10.787055468897819,23.55146360349997,16.461737024840005,27.996766706169836,65.41149032365533,76.25466057275466,33.58606583538713,182.0990235153403
IFNGR2g1,146.21667397550476,0.0,111.10339019782191,12.944136149832104,143.081363684748,17.75544197461852,141.8529414379567,10.146364859962546,16.892808546144067,137.62741856862044,115.86504656282062,128.1046465244171,115.36263516214859,113.92683733982682,117.50762821753625,134.0449463047251,111.73073537363479,110.40681408342215,112.01309499916505,127.68315388680747,128.88040624267234,11.117368388261923,122.68295898503885,164.83346693480314,14.353100063315537,20.838739163416108,122.16308189706643,114.41572469299331,9.132993663922718,113.15711278530733,112.73064749758697,127.62534317009562,156.2278429844548,122.51527562133168,118.0265427772398,140.0655487225037,122.32163598904486,131.05756102975062,128.54998036684572,124.84837646519082,126.6101029764506,110.3147059442341,13.647196842662993,135.116810288048,134.14318405242415,122.97098068908105,130.55075978956103,91.19780819363382,142.2497873483556,4.965828539115137,153.74845830408378,128.41399418963493,144.836789829574,18.06910885695072,112.42259169888985,164.29935292545116,134.03847117960476,143.9020186412643,141.1791435516149,129.10550545511887,172.9926306945194,150.62185772030273,132.05652119661738,144.85892861988413,259.840789386367,141.71761528663546,151.31746035522144,139.13256114225965,128.2615774752628,31.262340128761366,131.51475810416707,128.45058199656813,143.35067730245146,28.29237872192499,105.7792400717471,141.89732833991252,142.4684514459464,125.26849709787695,117.78368005910409,121.36532799022626,213.02623821779486,165.54374204433526,116.87591298203347,22.86606168340154
ATF2g1,8.228542900286413,111.10339019782191,0.0,94.1301998911934,10.199430783617345,56.80223697282429,14.927365284019402,127.54776709218618,69.74120265143398,10.754922592199819,9.547898954564346,7.624887944118257,6.542560780412657,84.2072488044592,7.528262808131956,7.098147877230133,13.122175192988664,14.097263178071728,20.226167601603777,13.95168551803232,9.29550032921344,96.37275663782867,7.447895566826844,17.316906571659047,71.4591327333759,130.12304735062128,9.911477330385935,10.131201430077795,110.14733578493923,16.5669538406367,10.732475171406179,6.430017158140515,85.36655384527648,30.166239046547446,8.600873975797867,59.85863065990719,10.133773917810288,6.375947795576678,17.386275613532575,8.99694399539311,6.151951055389475,21.165261321571734,132.20825822019174,14.633168812673603,8.883419100089384,15.596079555111771,9.347208604827927,57.244031643576136,17.46682445073685,123.2862102641958,12.670271509895429,10.873387982208271,12.093124304469427,97.3827512094258,10.670924105759354,20.119727956224494,8.916723267655641,12.970722748934065,9.414984049916768,6.606110073017248,20.05708811399137,14.873605528969847,15.945032862785638,17.878000028437498,77.44077655234355,8.758204638820416,16.513904955787552,15.28374488164684,15.38492181527397,182.1902854440607,10.838393529171753,36.153009459544535,20.709631460663104,89.17074177229534,10.88572299538913,20.434197665658644,10.169981385187782,18.124899370581772,7.712335298645826,21.891768958271598,64.7666451817052,67.4790264992036,24.12468947567868,145.9677060996005
IFNGR1g3,125.98267232894625,12.944136149832104,94.1301998911934,0.0,120.91027713110662,16.866919649845897,116.04763293368268,20.770834492913593,15.750158059395744,114.06177918589611,96.97521708966428,106.52150610053627,102.50251522970052,105.7824803230269,99.06100836971723,114.63275161464173,98.62281072651297,91.33894227363362,101.2570539369467,106.5914801461605,109.52520666003772,16.220878192630835,111.51733197322017,140.12889054347391,13.984505378445363,37.72445623061634,102.71341389306247,94.29337509615704,17.7192140732584,97.65830956553793,99.30659908817233,107.54439141467674,151.44891078129825,104.26464163625246,100.3372253547414,131.7624717906649,99.37298891737169,109.39825513161122,110.67348769670474,106.0508287002342,106.97560294055313,102.40799934226544,15.437943520575288,116.75782831564078,112.76966642495688,103.56074964774314,112.73356670364592,86.50227559674676,118.01975240244326,15.356983138059775,125.487203461869,106.0783747341037,124.78123471154208,24.111734782399992,89.01135471272977,137.90528068354467,113.09083719217074,120.95969875340631,122.46559099220303,109.15327895682282,149.75575305129723,126.74417907654157,113.50681587504147,126.74534649621012,224.30097638696753,119.26155870755059,127.55430451994238,117.94694842548898,112.76024947228797,55.193051621289726,110.28363106964144,118.88257033664411,126.15592901739029,25.20238352159629,92.51643345935486,122.4001486577352,120.80300355602424,118.49835510878665,97.8840189325386,111.05942804416622,183.99115458972562,162.78988282680723,102.36121350137404,37.6663570308412
CD86g1,11.061607425030672,143.081363684748,10.199430783617345,120.91027713110662,0.0,75.0198862501502,13.766913541728172,159.02416771580158,87.80983789720148,10.465667726975767,12.937100707567481,11.542793361075667,10.695245625462974,86.34434732669155,16.487780884591587,5.978500236803768,12.461788859806518,14.913860273055377,23.150183843562502,17.49659244566459,15.210819137590704,127.93525057430185,12.99480527876841,16.396167968628447,91.38092597633681,164.2286508076536,11.545188707273667,14.939176879163256,140.42463522174972,26.093038859203546,14.615418391277842,7.083168818143065,108.75727917025824,31.345078641230145,9.761021946291407,79.48707081319611,12.274514222995379,5.783894021757362,11.713415137178572,9.9071022024753,10.020859583870504,28.310747279658926,157.81041743392598,15.95014846627737,9.766520659931587,15.986338893319783,10.524186560164765,61.895181062583674,16.50638384371058,155.787613714975,11.262396928064732,9.0280421840327,12.414074354511683,123.15314091523487,20.000346413418242,24.39063012196317,9.43209544460882,13.205696742397265,8.979723275873596,7.336856132630373,13.704930037506813,20.444237388831652,20.454054109186586,13.927136371087329,74.30715042847783,15.780340516852789,17.279832271923624,16.384234350725933,13.43571675508781,220.82635874945538,10.576830551321791,51.29665637124748,26.511830633567342,116.21769298731039,17.946085552011084,17.693557908953267,12.430688724097479,19.68825048905336,13.05075497131088,28.016863355414728,67.61870251756142,83.96286469514047,23.50311313711984,178.39159560956432
IFNGR2g2,82.33159436776651,17.75544197461852,56.80223697282429,16.866919649845897,75.0198862501502,0.0,76.37841907008021,23.092657055800373,10.0794727223319,72.45285837260951,58.20312733599718,68.12036860048153,54.94217031945533,86.51154194470638,62.04190299433441,68.90825470898682,53.511215000492996,50.93588247369445,62.87082756960564,69.22396649390197,71.04658679724213,20.635078434067566,63.51762282820613,96.61821768156813,9.77105839479816,34.198497311134815,62.01932463165298,55.457542405968525,20.2218783152818,58.124030415167056,55.5907840603665,66.51181527978002,120.96739681123108,73.1904232915428,54.88333587031468,102.52966615307542,63.43294996728463,67.5586843247641,65.04305147337584,63.19715140485795,65.03027872435592,55.445396259380914,24.174985010305818,70.96393395617031,71.35398258702565,64.00249730059471,66.77904649995509,62.22855502039761,78.50645574978233,21.838686411571757,86.28467156414831,66.69360989947319,83.21347333768455,14.924507354547359,59.708555146996446,103.60152506248704,70.71822919149173,80.96219299039257,78.30117310711302,67.6129292873253,99.87462852434993,91.35664810212279,72.22472598551951,79.83959022719995,186.90033348721408,79.50238409606891,88.85132652732204,74.71910414937975,64.99964378135746,54.49774157716638,66.55316958023127,82.93378656685826,79.50599898473092,26.046721213167245,54.23874399417474,77.25571300333797,78.49017267040705,69.290207044189,58.772968632300376,65.81574084016432,150.94334227436417,122.01112736451142,57.00873558816602,38.49908565153646
POU2F2g1,16.35129931320256,141.8529414379567,14.927365284019402,116.04763293368268,13.766913541728172,76.37841907008021,0.0,160.21257181673457,87.43296171427716,11.139127189320106,12.237474061238629,11.43160588182019,19.701766472904126,76.29886280727413,14.345977922271857,10.318787936046931,18.351420916789777,22.1805041443709,17.947723352719265,10.828899533339325,13.856141871183866,131.29215789546964,17.953463321226707,14.0597882524429,87.42965484418198,168.36286763727549,12.853662333043587,15.086290798415007,139.6888609471535,32.897571084454,24.487378139755208,9.65339710872962,100.01654530474866,18.61083369301133,14.895088258697115,73.38806312286073,9.677644726182677,14.39965884321424,22.83624213839994,12.41748245407797,15.737364384490377,43.94248818114704,166.51775376783314,16.056193186813402,15.599297440603152,20.26008220043269,14.06206341075557,61.08929847940374,11.441235953698708,159.54407452617227,8.063317982511762,13.314467191749088,13.294643248327532,124.21529714088717,16.512809263025474,28.265046179385138,11.209613717792934,11.65701451370586,10.530539899822827,12.380067263363117,19.94898740906973,17.59049821092458,20.223820365876918,10.621223318786008,65.72432001657,12.839401537274739,8.422415386969078,10.625501295246522,27.01306937896402,223.43876878217554,17.98807859321903,51.31168932931274,30.3360560272979,101.17750328471772,13.893717073334471,14.729882314836118,18.749246713983155,17.964688722186622,9.763676189225976,32.38071512871858,70.8378231353318,77.59114517458914,30.323923175142454,191.09216815394927
JAK2g2,163.58050334239095,10.146364859962546,127.54776709218618,20.770834492913593,159.02416771580158,23.092657055800373,160.21257181673457,0.0,29.667729070579128,152.50127374171927,130.41248534522873,148.06543458394555,125.68933421679736,127.59777811693658,135.5663631510476,148.37943596824886,127.33653486269685,126.4391035884766,126.03792753314582,145.20911455439335,146.7352888389036,17.97595973376798,136.8999942660501,176.91410545130282,17.055867715194154,19.942898040608384,138.24067487464725,129.3768616224453,6.711530307374858,129.89067960416565,125.94916405690577,144.37032289343853,174.8694629439674,143.38867874521014,129.82175672772007,167.26942550892574,136.27044182789922,148.00512964172725,144.4373736298969,141.16416965153684,142.35820527346988,124.96668092118466,18.494530900521227,149.46920377275194,153.95344768601745,143.3362828782354,145.71340218713243,103.90426125592069,151.67094560311654,12.162910889695695,171.05627485166417,144.96520551637792,163.19894854594867,11.847252051690816,127.25036686070541,187.71144053578251,150.41775518264234,164.08463252507016,161.02637301896272,146.56626857091544,190.30275213353474,172.0990946117288,144.71514611431212,161.44074166668128,275.5249490962163,160.99504620527762,168.78685263561363,158.76037088779913,147.105817145468,24.915234352084894,142.56945730062193,151.8737038286593,161.56427080563276,31.139985655917314,124.1174444857931,160.09944159078077,156.6190831217022,137.68650694893216,135.98104632286095,136.82551075667624,232.5055165761866,190.4329137829955,133.85050443265789,16.343429415196056
IFNGR1g2,97.21929379036817,16.892808546144067,69.74120265143398,15.750158059395744,87.80983789720148,10.0794727223319,87.43296171427716,29.667729070579128,0.0,82.68550058815123,68.08785194833183,78.00197190800509,73.8373865901915,76.53488008242516,74.45620022539504,79.9114546868276,62.83649745243679,57.24999752752217,69.34055958210058,77.21760677491602,80.36117248787048,20.987896888000023,80.12741916876826,108.17396723696999,11.386504684252202,33.53288245133734,76.14738901811472,63.84820770896721,20.900094472896626,66.7647903863267,76.06932842190565,76.7229761075929,128.67897541101905,74.64466420522785,69.71938233449436,109.65327169033765,72.33028991802394,81.43718939192536,70.8328836513586,74.2261310010432,83.87804971260755,69.58849077970916,25.12771322794771,83.86875648072015,89.33029288472551,73.36184912634758,84.92103260527006,57.96909128456815,86.76506154202343,24.082931638207526,93.9061081765737,74.84684253275498,89.19367311478732,24.025007280230454,71.71128200639299,114.89262754393474,82.56369352969534,87.66921669698138,87.20240424991357,82.26188706602983,108.69799922994491,98.15875100053319,83.45316390427178,82.32019141173635,184.4031496161403,89.51216098232152,94.6008392880371,84.3817739264054,79.68024704247426,56.40914349198641,79.95123402711346,91.03891279005336,87.46588702982302,23.529026225429334,63.071015697332655,81.65958892983889,93.55488632606637,80.24198881289476,71.61823924695369,75.30208553725436,152.21671982751116,132.95854907124442,66.64277347382512,44.55010026351869
TNFRSF14g1,14.754958389289811,137.62741856862044,10.754922592199819,114.06177918589611,10.465667726975767,72.45285837260951,11.139127189320106,152.50127374171927,82.68550058815123,0.0,7.509440368509956,11.21755318623724,13.82290693436363,81.99666750915202,14.166653520977945,7.0789374487833925,11.294177387718548,15.163225774182308,19.677328208245115,8.236683969387457,12.158678960911914,127.87863452639607,12.862463527924831,18.71552745791655,86.76921146863992,158.92130133424064,8.791080950051025,8.599240566363164,133.73148732363614,22.572547259099053,18.41928568850318,9.794826582166877,95.22430017802685,28.640398158982805,7.838317837932891,71.7407249311787,7.818283553282015,11.383430216796171,14.91086512152981,5.17624779318686,15.604606135869801,30.70867457759448,157.1568919140118,6.485766514961028,11.16001131540969,12.952826991568656,9.584666847638857,59.382143791585236,12.2089470586439,152.76446117972296,12.030089720854335,12.352423532849969,9.839198841823361,111.40454517450485,12.710484559888414,30.964215647885624,8.44823605003836,7.65758374117496,12.114542297197033,10.794185744948209,10.631577973750097,12.547033210347763,22.628741808355244,10.55596870160008,73.92591071797165,13.46170496450361,13.885143041287506,9.649442170514362,22.269787944942664,212.15709193828047,10.293079183328132,44.11630410440711,22.63721566739946,97.50128870489829,11.52110065347864,15.678819826848098,11.38022307786406,18.276997618194002,7.579094084975054,28.754177401854975,79.64662005165695,76.58760475950504,17.17947062335054,179.35352101943215
