,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncounts,significant_adj_new
0,0.0027962028188198707,2i (LIF+MEKi+GSK3i),0.0032762787862619103,0.0,True,0.0,True,2.2219030278174654,1.8012890635037193,8.717225,True
1,0.0027962028188198707,control,0.0,0.0,True,0.0,control,2.637620286963078,2.637620286963078,5.4857574,control
2,0.02507208781817638,2i (LIF+MEKi+GSK3i),0.1642636729081559,0.0,True,0.0,True,16.62489546732113,12.953951823153274,78.43153,True
3,0.02507208781817638,control,0.0,0.0,True,0.0,control,20.03566827143675,20.03566827143675,48.91929,control
4,0.06912625135579575,2i (LIF+MEKi+GSK3i),0.6332972361011926,0.0,True,0.0,True,36.11363566297585,27.415570974830416,216.3798,True
5,0.06912625135579575,control,0.0,0.0,True,0.0,control,43.045591761065076,43.045591761065076,134.73921,control
6,0.1339745962155613,2i (LIF+MEKi+GSK3i),1.4857084473967497,0.0,True,0.0,True,57.58787145784818,42.923238582506734,419.35608,True
7,0.1339745962155613,control,0.0,0.0,True,0.0,control,67.09786704610438,67.09786704610438,261.15283,control
8,0.2181685175319702,2i (LIF+MEKi+GSK3i),3.036759091206271,0.0,True,0.0,True,83.79612075209378,61.89067359678126,682.88184,True
9,0.2181685175319702,control,0.0,0.0,True,0.0,control,95.1605658920783,95.1605658920783,425.2807,control
10,0.31982726222908053,2i (LIF+MEKi+GSK3i),4.927419734437443,0.0,True,0.0,True,117.64090103830429,86.45302797103312,1001.0221,True
11,0.31982726222908053,control,0.0,0.0,True,0.0,control,130.55500868681392,130.55500868681392,623.5046,control
12,0.43667994193637794,2i (LIF+MEKi+GSK3i),7.118877772032604,0.0,True,0.0,True,157.9507120412031,115.6664127666296,1366.8304,True
13,0.43667994193637794,control,0.0,0.0,True,0.0,control,171.77589249366898,171.77589249366898,851.2363,control
14,0.5661162608824419,2i (LIF+MEKi+GSK3i),9.213965884594472,0.0,True,0.0,True,203.3666315683259,148.29223759351007,1771.9961,True
15,0.5661162608824419,control,0.0,0.0,True,0.0,control,217.11894229082904,217.11894229082904,1103.528,control
16,0.7052448255890957,2i (LIF+MEKi+GSK3i),12.137992872764428,0.0,True,0.0,True,252.82762269317436,183.9798070501194,2207.4082,True
17,0.7052448255890957,control,0.0,0.0,True,0.0,control,264.7382651708674,264.7382651708674,1374.8037,control
18,0.8509577338238256,2i (LIF+MEKi+GSK3i),15.132341245519385,0.0,True,0.0,True,304.07034633636425,221.0396765745447,2663.646,True
19,0.8509577338238256,control,0.0,0.0,True,0.0,control,312.14675345071333,312.14675345071333,1658.6984,control
20,1.0,2i (LIF+MEKi+GSK3i),17.033541357536535,0.0,True,0.0,True,356.3307797790157,258.9336915701722,3130.311,True
21,1.0,control,0.0,0.0,True,0.0,control,358.7975971421978,358.7975971421978,1949.0769,control
