,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncounts,significant_adj_new
0,0.0027962028188198707,ATF2g1,0.04108056177462327,1.0,False,1.0,False,1.7807799640769575,1.6589183355025539,11.68,False
1,0.0027962028188198707,ATF2g2,0.04443991325211738,1.0,False,1.0,False,2.216166765917117,2.4909498290583842,9.74,False
2,0.0027962028188198707,ATF2g3,0.08044385488801264,1.0,False,1.0,False,2.5230041189869183,3.0872687643184062,8.02,False
3,0.0027962028188198707,ATF2g4,0.04114588475186909,1.0,False,1.0,False,1.9222129889559618,1.9306614661614676,11.16,False
4,0.0027962028188198707,BRD4g1,0.2125586604939178,0.0,True,0.0,True,2.9084794490379733,3.672876423987896,7.64,True
5,0.0027962028188198707,BRD4g3,0.040032519277067635,1.0,False,1.0,False,2.4792722072397355,3.043727787097213,8.64,False (lost)
6,0.0027962028188198707,BRD4g4,0.12471824218622585,1.0,False,1.0,False,2.5089007161425143,3.0152911555696447,8.6,False (lost)
7,0.0027962028188198707,CAV1g1,0.06110273356575835,1.0,False,1.0,False,2.1268531565683424,2.314205754552059,9.62,False
8,0.0027962028188198707,CAV1g2,0.046242539907609626,1.0,False,1.0,False,2.162672067214501,2.405650757384034,8.84,False
9,0.0027962028188198707,CAV1g3,0.05671402130464531,1.0,False,1.0,False,1.9699264317247072,1.9764883903763988,9.98,False
10,0.0027962028188198707,CAV1g4,0.05726556032308405,1.0,False,1.0,False,2.0931116758903197,2.2499055455662846,10.68,False
11,0.0027962028188198707,CD86g1,0.05478958856846283,1.0,False,1.0,False,1.890778299706321,1.866588288974451,8.98,False
12,0.0027962028188198707,CD86g2,0.057249913145287046,1.0,False,1.0,False,2.144811336648717,2.3660825182003444,9.06,False
13,0.0027962028188198707,CD86g3,0.03152039392929118,1.0,False,1.0,False,1.9039406782808859,1.8968651150064346,9.66,False
14,0.0027962028188198707,CD86g4,0.04518744916909645,1.0,False,1.0,False,1.7613162901545816,1.5883805413479466,11.08,False
15,0.0027962028188198707,CMTM6g1,0.028141474514153053,1.0,False,1.0,False,2.119693889392803,2.314247846606616,10.06,False
16,0.0027962028188198707,CMTM6g2,0.037965637288732035,1.0,False,1.0,False,1.952885013320348,1.9790830668923132,10.28,False
17,0.0027962028188198707,CMTM6g3,0.04815848568976122,1.0,False,1.0,False,1.7992234395720186,1.680330709158559,11.08,False
18,0.0027962028188198707,CUL3g1,0.03636539154915752,1.0,False,1.0,False,2.211908371671603,2.4814403982834707,9.22,False (lost)
19,0.0027962028188198707,CUL3g2,0.039465145499274046,1.0,False,1.0,False,2.4016524393746264,2.879045370200704,8.78,False (lost)
20,0.0027962028188198707,ETV7g1,0.038313622189313445,1.0,False,1.0,False,2.1727812025209694,2.429025448211339,9.4,False
21,0.0027962028188198707,ETV7g2,0.031682739644296465,1.0,False,1.0,False,1.9076742810492757,1.9029862214884736,11.0,False
22,0.0027962028188198707,ETV7g3,0.057166258328092745,1.0,False,1.0,False,2.2986435885439427,2.6556640988416973,7.88,False (lost)
23,0.0027962028188198707,ETV7g4,0.09149693974298545,1.0,False,1.0,False,2.080222192648978,2.2035621817321718,8.58,False
24,0.0027962028188198707,IFNGR1g1,0.03836832981540206,1.0,False,1.0,False,1.9004389592654944,1.87859013417018,11.08,False (lost)
25,0.0027962028188198707,IFNGR1g2,0.0706911052094259,1.0,False,1.0,False,2.043214911749717,2.1384449852289427,9.44,False (lost)
26,0.0027962028188198707,IFNGR1g3,0.06641989423494477,1.0,False,1.0,False,2.0096298818787024,2.074151725066251,10.46,False (lost)
27,0.0027962028188198707,IFNGR1g4,0.06240943967401402,1.0,False,1.0,False,2.170091194278459,2.4115043297388916,9.44,False (lost)
28,0.0027962028188198707,IFNGR2g1,0.05076008298004875,1.0,False,1.0,False,2.0013672864719565,2.065914119372,9.6,False (lost)
29,0.0027962028188198707,IFNGR2g2,0.05187752695029246,1.0,False,1.0,False,1.7736520788535757,1.6282191056418593,11.02,False (lost)
30,0.0027962028188198707,IFNGR2g3,0.03804929757051134,1.0,False,1.0,False,2.2690711529127747,2.6132610916756183,8.12,False (lost)
31,0.0027962028188198707,IFNGR2g4,0.12198144495247876,1.0,False,1.0,False,2.375277725214528,2.741591370210203,8.16,False (lost)
32,0.0027962028188198707,IRF1g1,0.03158051751994284,1.0,False,1.0,False,2.027043143341381,2.1249343810084267,9.48,False (lost)
33,0.0027962028188198707,IRF1g2,0.060823418341242386,1.0,False,1.0,False,2.006775550290723,2.091301312649313,9.68,False (lost)
34,0.0027962028188198707,IRF1g3,0.0441763595798601,1.0,False,1.0,False,2.1578108712265327,2.40072990600872,11.04,False (lost)
35,0.0027962028188198707,IRF1g4,0.07708351941418012,1.0,False,1.0,False,2.167981162226405,2.380857007219976,9.92,False (lost)
36,0.0027962028188198707,IRF7g1,0.03175054143047373,1.0,False,1.0,False,1.9675088887702767,1.989624069042257,9.16,False
37,0.0027962028188198707,IRF7g2,0.051201177472923076,1.0,False,1.0,False,2.102521575104933,2.2735607061858727,8.24,False
38,0.0027962028188198707,IRF7g3,0.05589002779605989,1.0,False,1.0,False,2.159554079955357,2.39565936739616,9.64,False
39,0.0027962028188198707,IRF7g4,0.04952771400821754,1.0,False,1.0,False,1.8708405674289685,1.8272996615893957,10.38,False
40,0.0027962028188198707,JAK2g1,0.06866336082398727,1.0,False,1.0,False,2.1600216764456217,2.3694680912780606,8.84,False (lost)
41,0.0027962028188198707,JAK2g2,0.04651365324706047,1.0,False,1.0,False,1.8649065223927555,1.772773975441637,9.72,False (lost)
42,0.0027962028188198707,JAK2g3,0.07993915890662984,1.0,False,1.0,False,2.2737917972421062,2.5718898196076085,9.4,False (lost)
43,0.0027962028188198707,JAK2g4,0.12226800476798338,1.0,False,1.0,False,2.1749611260834936,2.3553584874148745,9.0,False (lost)
44,0.0027962028188198707,MARCH8g1,0.03828861291410668,1.0,False,1.0,False,2.0697056084474688,2.203760167390772,8.88,False
45,0.0027962028188198707,MARCH8g2,0.031297211282723225,1.0,False,1.0,False,1.903391804131275,1.89019084897871,9.98,False
46,0.0027962028188198707,MARCH8g3,0.05802505937831404,1.0,False,1.0,False,2.385072620739812,2.8552651868368835,8.08,False
47,0.0027962028188198707,MARCH8g4,0.030980689528363525,1.0,False,1.0,False,1.8475695501863783,1.7936496679811447,9.6,False
48,0.0027962028188198707,NFKBIAg1,0.042332478020340014,1.0,False,1.0,False,1.942962101220992,1.9579794001349242,10.54,False
49,0.0027962028188198707,NFKBIAg2,0.028389692171004954,1.0,False,1.0,False,2.0321841218794545,2.159742879105339,10.66,False
50,0.0027962028188198707,NFKBIAg3,0.06502217681940214,1.0,False,1.0,False,1.9983354743483404,2.0379265235501562,9.64,False
51,0.0027962028188198707,PDCD1LG2g1,0.06550151414687377,1.0,False,1.0,False,2.334464096597422,2.6956486355363167,8.66,False
52,0.0027962028188198707,PDCD1LG2g2,0.040243598367616595,1.0,False,1.0,False,2.202577522362326,2.4799814398065343,9.02,False (lost)
53,0.0027962028188198707,PDCD1LG2g3,0.05522413938235071,1.0,False,1.0,False,1.900323897124428,1.8709732916649768,11.34,False
