,Dex,Nutlin,SAHA,BMS,control
Dex,0.0,0.08430491906861712,0.05350709337174747,0.08696929060114353,0.0666399196986847
Nutlin,0.08430491906861712,0.0,0.05743250726644898,0.0970531573113286,0.044383611804217564
SAHA,0.05350709337174747,0.05743250726644898,0.0,0.06513395713722539,0.03545024146343318
BMS,0.08696929060114353,0.0970531573113286,0.06513395713722539,0.0,0.05171469097915455
control,0.0666399196986847,0.044383611804217564,0.03545024146343318,0.05171469097915455,0.0
