perturbation,62(mod)_pBA581,EP300_pDS268,DDIT3_pDS263,SPI1_pDS255,CREB1_pDS269,BHLHE40_pDS258,SNAI1_pDS266,ZNF326_pDS262
62(mod)_pBA581,1.0,-0.3831175314272424,0.17044235592134638,-0.33946997545953916,-0.004963630358930749,-0.11535675062927077,-0.040584796957390874,-0.2480047265766948
EP300_pDS268,-0.3831175314272424,1.0,0.3258091683889177,-0.3738293953808345,-0.03399543761257466,-0.11246176540286332,-0.006679247164461318,-0.20080158012217203
DDIT3_pDS263,0.17044235592134638,0.3258091683889177,1.0,0.10175080056309216,-0.4424589354306022,-0.25854940567807816,-0.5263994467469609,-0.09971181606672547
SPI1_pDS255,-0.33946997545953916,-0.3738293953808345,0.10175080056309216,1.0,-0.07835235183381042,-0.10699686572785866,-0.09201659829710483,-0.20994565059059409
CREB1_pDS269,-0.004963630358930749,-0.03399543761257466,-0.4424589354306022,-0.07835235183381042,1.0,-0.19992769931921375,-0.21889650304716624,-0.08466373086307154
BHLHE40_pDS258,-0.11535675062927077,-0.11246176540286332,-0.25854940567807816,-0.10699686572785866,-0.19992769931921375,1.0,-0.19104830615801666,-0.1197611873181531
SNAI1_pDS266,-0.040584796957390874,-0.006679247164461318,-0.5263994467469609,-0.09201659829710483,-0.21889650304716624,-0.19104830615801666,1.0,-0.05997074896025443
ZNF326_pDS262,-0.2480047265766948,-0.20080158012217203,-0.09971181606672547,-0.20994565059059409,-0.08466373086307154,-0.1197611873181531,-0.05997074896025443,1.0
