perturbation,Dox,control,2i (LIF+MEKi+GSK3i)
Dox,0.0,100.02475801494674,168.09857506279465
control,100.02475801494677,0.0,130.1006448950584
2i (LIF+MEKi+GSK3i),168.09857506279465,130.10064489505837,0.0
