,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncounts,significant_adj_new
0,0.0027962028188198707,BMS,0.008759769098595327,0.0,True,0.0,True,0.7142975591393872,0.641000393276034,6.7693763,True
1,0.0027962028188198707,Dex,0.010314493365209954,0.0,True,0.0,True,0.7370775206569662,0.6850595999168643,6.395085,True
2,0.0027962028188198707,Nutlin,0.014000991901922832,0.0,True,0.0,True,0.7185028185630363,0.6436937715296028,6.8015122,True
3,0.0027962028188198707,SAHA,0.00421598126526368,0.0,True,0.0,True,0.6308538808178425,0.4778429047020914,8.782609,True
4,0.0027962028188198707,control,0.0,0.0,True,0.0,control,0.777682824917952,0.777682824917952,2.4914935,control
5,0.02507208781817638,BMS,0.01817001533779017,0.0,True,0.0,True,6.8228486157592085,5.435649226588779,60.975426,True
6,0.02507208781817638,Dex,0.014620641830870085,0.99,False,0.9999,False,6.793872702793003,5.316880830934646,57.21361,False (lost)
7,0.02507208781817638,Nutlin,0.014863593825169552,1.0,False,1.0,False,6.811791276123174,5.345547760855691,61.57467,False (lost)
8,0.02507208781817638,SAHA,0.02265902342022219,0.0,True,0.0,True,6.029881090841095,4.042890339163799,78.931946,True
9,0.02507208781817638,control,0.0,0.0,True,0.0,control,7.794567046470118,7.794567046470118,21.417768,control
10,0.06912625135579575,BMS,0.06087163506323545,0.0,True,0.0,True,16.519673569550164,12.803231853727755,169.73346,True
11,0.06912625135579575,Dex,0.06574413881208319,0.0,True,0.0,True,16.32784074347057,12.360780862393488,157.51039,True
12,0.06912625135579575,Nutlin,0.05830752651467552,0.0,True,0.0,True,16.35197562337147,12.494919995439796,169.9225,True
13,0.06912625135579575,SAHA,0.06691619769925072,0.0,True,0.0,True,14.867800856118896,9.907438942718358,215.16635,True
14,0.06912625135579575,control,0.0,0.0,True,0.0,control,18.30394180902181,18.30394180902181,59.971645,control
15,0.1339745962155613,BMS,0.4220950706889983,0.0,True,0.0,True,28.386518018488236,21.48137818805661,328.431,True
16,0.1339745962155613,Dex,0.38536407454786215,0.0,True,0.0,True,28.04125866306172,20.578785734120324,305.1361,True
17,0.1339745962155613,Nutlin,0.41784775231657,0.0,True,0.0,True,28.318572729869455,21.14670884290064,329.28354,True
18,0.1339745962155613,SAHA,0.3316563094414633,0.0,True,0.0,True,26.298729076002637,17.359676943753225,417.58978,True
19,0.1339745962155613,control,0.0,0.0,True,0.0,control,30.312920712593012,30.312920712593012,116.3724,control
20,0.2181685175319702,BMS,0.7595773053431731,0.0,True,0.0,True,42.94486633340091,31.55650705366271,534.76935,True
21,0.2181685175319702,Dex,0.8440985550892695,0.0,True,0.0,True,41.88464483664037,28.90092152146913,495.9187,True
22,0.2181685175319702,Nutlin,0.812456092008139,0.0,True,0.0,True,42.40003827164895,30.139892624702444,535.9263,True
23,0.2181685175319702,SAHA,0.6684172752183262,0.0,True,0.0,True,41.13191626134664,26.8895445341024,680.8677,True
24,0.2181685175319702,control,0.0,0.0,True,0.0,control,44.616223143054455,44.616223143054455,189.97731,control
25,0.31982726222908053,BMS,1.5589465409251169,0.0,True,0.0,True,60.43453217170492,42.7201625979603,783.138,True
26,0.31982726222908053,Dex,1.6992914159580614,0.0,True,0.0,True,58.14609364767763,37.47765088067427,727.6125,True
27,0.31982726222908053,Nutlin,2.0316425616668283,0.0,True,0.0,True,59.286169350479085,40.36853289878087,786.4178,True
28,0.31982726222908053,SAHA,1.8362202922242865,0.0,True,0.0,True,59.63119732461099,38.60407293827224,997.76184,True
29,0.31982726222908053,control,0.0,0.0,True,0.0,control,61.288100789523185,61.288100789523185,278.29868,control
30,0.43667994193637794,BMS,2.8342015758979535,0.0,True,0.0,True,81.03377428763127,56.09726417659088,1069.9622,True
31,0.43667994193637794,Dex,2.286208789592873,0.0,True,0.0,True,76.77848072530679,47.09794499807522,993.93195,True
32,0.43667994193637794,Nutlin,2.947713457562312,0.0,True,0.0,True,78.7422614877082,52.22465512337504,1072.3232,True
33,0.43667994193637794,SAHA,3.242254033489754,0.0,True,0.0,True,81.41017502504299,52.381623810252805,1363.3308,True
34,0.43667994193637794,control,0.0,0.0,True,0.0,control,79.3121665128719,79.3121665128719,379.20416,control
35,0.5661162608824419,BMS,4.727851799407443,0.0,True,0.0,True,103.06959207541398,71.0340280642602,1387.4008,True
36,0.5661162608824419,Dex,3.835026504415776,0.0,True,0.0,True,96.33911737845158,57.223322494862224,1288.6843,True
37,0.5661162608824419,Nutlin,4.727149361072602,0.0,True,0.0,True,99.18586756658826,64.66818251439474,1390.2003,True
38,0.5661162608824419,SAHA,5.781648590968626,0.0,True,0.0,True,105.70700594526618,68.39278813947494,1766.724,True
39,0.5661162608824419,control,0.0,0.0,True,0.0,control,97.19608164106461,97.19608164106461,491.85254,control
40,0.7052448255890957,BMS,9.351402270164542,0.0,True,0.0,True,127.68784170567307,88.37662942735348,1728.6086,True
41,0.7052448255890957,Dex,8.883445423688627,0.0,True,0.0,True,117.79020506544943,68.50460231669761,1605.2212,True
42,0.7052448255890957,Nutlin,8.277139653194979,0.0,True,0.0,True,121.19888800927241,78.01661847370607,1732.051,True
43,0.7052448255890957,SAHA,10.256042875129523,0.0,True,0.0,True,133.2827167889002,87.3859516261458,2200.2173,True
44,0.7052448255890957,control,0.0,0.0,True,0.0,control,115.68116772474158,115.68116772474158,613.1607,control
45,0.8509577338238256,BMS,6.74435886615732,0.0,True,0.0,True,152.5889397233855,107.03782810523697,2085.9736,True
46,0.8509577338238256,Dex,7.711105768598394,0.0,True,0.0,True,139.5646481274102,80.76901355158628,1938.1096,True
47,0.8509577338238256,Nutlin,6.326066300661587,0.0,True,0.0,True,143.54313781253006,93.18984366668985,2089.446,True
48,0.8509577338238256,SAHA,9.005479055831401,0.0,True,0.0,True,161.5428568292375,107.55104683884689,2653.2192,True
49,0.8509577338238256,control,0.0,0.0,True,0.0,control,132.3032790324076,132.3032790324076,740.4707,control
50,1.0,BMS,14.820723208598565,0.0,True,0.0,True,178.64048754498185,125.59220957077622,2451.3838,True
51,1.0,Dex,18.023258342933552,0.0,True,0.0,True,161.93513783658855,92.32631362906649,2278.295,True
52,1.0,Nutlin,16.108712615810127,0.0,True,0.0,True,166.58678186206103,107.61408506579842,2454.5898,True
53,1.0,SAHA,14.627306262544302,0.0,True,0.0,True,190.95418162087577,127.18816054679883,3117.811,True
54,1.0,control,0.0,0.0,True,0.0,control,150.30687193065333,150.30687193065333,870.2968,control
