,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
SPG7,7.879893792979402,21.321939406378135,7.879893187461931,0.334,False,0.9999999996741892,False,0.8965203306354592
GSR,15.168967497230796,29.961302061728304,15.168960073822715,0.013,True,0.8918775311270306,False,1.180955808230291
IGF1R,10.799276332979446,23.70319999052299,10.799268914866218,0.093,False,0.9999925786701584,False,1.0333943557659893
BAX,11.058090956136738,25.056970554542488,11.058096331507016,0.089,False,0.9999900148454548,False,1.0436803689324068
GOLIM4,5.241993779982181,17.10667127544008,5.241991716740557,0.657,False,0.9999999999170446,False,0.7194963303502401
AFG3L2,8.986518776962129,24.841812202606206,8.986517416084013,0.12,False,0.9999988527820856,False,0.953591420319874
RBM17,8.136066229324996,22.22420763163484,8.136066604117559,0.187,False,0.9999999717448992,False,0.9104144951853778
COASY,8.181804819161243,22.407860424755768,8.181797177334289,0.224,False,0.9999999863229472,False,0.9128487093524916
PSMF1,8.877864872048804,18.170918955203604,8.877856294167401,0.163,False,0.9999999455255252,False,0.9483081108227976
ADAM10,10.981019775666852,26.060172328212445,10.981023887336448,0.104,False,0.9999976430783803,False,1.040642836278816
FAM57B,8.575268288399997,19.697975239161337,8.575266881861012,0.252,False,0.9999999936378506,False,0.9332476451598132
TRAP1,6.879744557389756,20.46529246660026,6.87975170555859,0.423,False,0.9999999999170446,False,0.8375727645652139
NSF,20.800234723600255,35.88597312347224,20.800229452358195,0.01,True,0.8277500698084983,False,1.3180681257965785
RHOT1,3.233362628422924,14.064129210750139,3.2333598603350997,0.965,False,0.9999999999170446,False,0.5096540425826329
RGL1,9.983139632707065,22.87465219245371,9.983140174631217,0.104,False,0.9999976430783803,False,0.9992671691438976
GLE1,5.996092522796573,20.317027968723494,5.996091107370546,0.551,False,0.9999999999170446,False,0.777868223096803
SLC4A1AP,12.011879710421283,21.913515634829594,12.01186856528659,0.05,False,0.9995672227742404,False,1.079610571472077
TMEM55A,13.192388638375576,26.4886131525127,13.192375150305878,0.023,True,0.9789865395320893,False,1.1203229928025595
FERMT2,12.950592738737754,24.93964542567568,12.950598767053265,0.024,True,0.9818356477629472,False,1.112289848356701
POU4F1,11.413928707184624,25.72091461727456,11.413932722238258,0.075,False,0.9999770164354292,False,1.0574353083350008
DYNC1H1,12.824181936191366,23.082958551510558,12.8241820029734,0.059,False,0.9998519203439644,False,1.1080296729710213
HSPA9,10.93348044921899,22.338475111386458,10.93348763781239,0.123,False,0.9999990922695654,False,1.0387587182399651
PPP1R37,8.091995213043106,22.515370243233008,8.091989443441179,0.212,False,0.9999999863229472,False,0.9080553075320056
BNIP1,7.899644128917572,18.09326118898383,7.899636932656477,0.29,False,0.9999999989893348,False,0.8976071315730694
COG4,10.51751757062641,23.09377488177472,10.517517530752826,0.114,False,0.9999983491431824,False,1.0219132445780637
RELN,6.501069431160403,18.75179434365822,6.501070956628212,0.468,False,0.9999999999170446,False,0.8129849062185165
AKAP9,7.393938748545139,21.61290991272523,7.393936580044453,0.341,False,0.9999999996741892,False,0.868875721182333
PGBD1,7.007659693758484,19.093544564024455,7.007666570985975,0.403,False,0.9999999999170446,False,0.8455734296574801
DAP,9.896201967619078,25.344636055017702,9.896199340729396,0.134,False,0.9999996824144238,False,0.995468434772526
APEX1,11.943608279317317,26.84911203322838,11.94361333319577,0.066,False,0.9999425085448748,False,1.0771357349398716
VPS13A,10.740221043839966,24.157888209433168,10.740219630386036,0.123,False,0.9999990922695654,False,1.0310131624891825
TRIM26,9.003076983159957,19.531029714702186,9.00308191984692,0.186,False,0.9999999717448992,False,0.9543912018467936
SOD2,12.56975933278352,27.732353513605005,12.569758868501054,0.042,True,0.99865014102606,False,1.099326946493924
PRRC2C,4.833217046086986,19.314095653199672,4.833213840783145,0.688,False,0.9999999999170446,False,0.6842360104953108
NDUFAF6,9.575544195820726,24.968004972144854,9.575554576232976,0.19,False,0.9999999717448992,False,0.9811639358963412
YARS,6.267666591209064,22.46226478708502,6.2676606023191255,0.539,False,0.9999999999170446,False,0.7971054711196599
ARID1B,8.154557596870717,20.40760191643841,8.154559307930782,0.228,False,0.9999999863229472,False,0.9114004956883266
VAPB,7.000269247087402,20.04381234803418,7.000272155619655,0.378,False,0.9999999996741892,False,0.8451149247837151
TRPM7,4.524959829206523,13.942709734450716,4.524961891355872,0.771,False,0.9999999999170446,False,0.6556149259846364
SCAPER,8.523300727053595,19.869724924220748,8.523293449448175,0.214,False,0.9999999863229472,False,0.9306074410745532
POLG,12.06571457173527,29.714915152232436,12.065713564448572,0.074,False,0.999975321647568,False,1.0815530111133238
NDUFAF2,9.5399145127042,20.989995034312813,9.539905025826783,0.194,False,0.9999999717448992,False,0.9795440511228932
EPC2,9.30389483563934,23.11121393755593,9.303896295787098,0.171,False,0.9999999612329924,False,0.9686648609617486
