perturbation,control,ETV7,IRF1,ATF2,IRF7,MARCH8,IFNGR1,STAT2,CAV1,PDL1
control,0.0,13.969411002613953,32.20663656648355,27.75407939665206,19.57822463078074,17.348787731281732,109.10722885284304,27.425319372540997,49.687358442520235,39.096657838908754
ETV7,13.969411002613953,0.0,23.762035469674572,17.67439624971712,10.43146368342633,9.554232570273342,132.3728572268607,17.87852140534733,33.0624942845958,26.806210307926165
IRF1,32.206636566483525,23.762035469674572,0.0,32.21948237366476,23.615779366178856,31.791037376039895,131.42317029306096,38.406977270192925,33.82867914374938,34.913779639690375
ATF2,27.754079396652088,17.67439624971712,32.21948237366473,0.0,13.32108678816968,15.475627001341394,113.61199133433811,10.529004908938077,13.912882263382471,18.549066899721822
IRF7,19.57822463078074,10.43146368342633,23.615779366178856,13.32108678816968,0.0,8.544848754983235,132.9706200578605,14.35236022945736,20.9181556485388,30.24677318671337
MARCH8,17.348787731281732,9.554232570273342,31.791037376039895,15.475627001341394,8.544848754983235,0.0,111.01973191822447,6.879480036731167,28.847949713102565,27.748820344753852
IFNGR1,109.10722885284306,132.3728572268607,131.42317029306096,113.61199133433811,132.97062005786054,111.0197319182245,0.0,100.57599695256218,139.31975020503504,107.74809402156123
STAT2,27.425319372540997,17.87852140534733,38.4069772701929,10.529004908938077,14.35236022945736,6.879480036731167,100.57599695256215,0.0,20.509007615563462,19.75423741736546
CAV1,49.687358442520264,33.0624942845958,33.828679143749355,13.912882263382471,20.9181556485388,28.847949713102565,139.31975020503498,20.509007615563462,0.0,18.133573419393144
PDL1,39.09665783890878,26.806210307926136,34.913779639690375,18.549066899721822,30.24677318671334,27.748820344753852,107.74809402156123,19.75423741736546,18.133573419393144,0.0
