,IFNGR1,CAV1,PDL1,control,IRF1,ETV7,STAT2,ATF2,IRF7,MARCH8
IFNGR1,0.0,4.409833705357141,3.9219967155612245,4.273560746173466,4.617005452806126,4.766530580357141,4.355455707908163,4.7618465242346915,4.81519550382653,4.962438297193877
CAV1,4.409833705357141,0.0,0.20399419642857097,1.2762176020408145,1.094702933673469,0.5845718112244889,0.3329563137755098,0.210906505102038,0.5084742346938746,0.5991639030612248
PDL1,3.9219967155612245,0.20399419642857097,0.0,0.9001556122448964,0.7565815688775519,0.3843973214285725,0.7121068239795907,0.4488132653061214,0.7812559948979576,0.9223487882653068
control,4.273560746173468,1.2762176020408145,0.9001556122448964,0.0,0.4240268494897954,0.13532072704081521,0.8233552295918365,0.6969960459183664,0.3623544005102044,0.6398315688775522
IRF1,4.617005452806124,1.094702933673469,0.7565815688775519,0.4240268494897954,0.0,0.3432748086734687,0.8870905612244897,0.5598720025510193,0.4972428571428562,0.6565778380102056
ETV7,4.766530580357141,0.5845718112244889,0.3843973214285725,0.13532072704081521,0.3432748086734687,0.0,0.6282000637755107,0.22898775510203961,0.1567179846938771,0.38875765306122645
STAT2,4.3554557079081615,0.3329563137755098,0.7121068239795907,0.8233552295918365,0.8870905612244897,0.6282000637755107,0.0,0.1865675701530609,0.20941811224489548,0.17927028061224526
ATF2,4.7618465242346915,0.210906505102038,0.4488132653061214,0.6969960459183664,0.5598720025510193,0.22898775510203961,0.1865675701530609,0.0,0.07922142857142589,0.004592346938775194
IRF7,4.81519550382653,0.5084742346938746,0.7812559948979576,0.3623544005102044,0.4972428571428562,0.1567179846938771,0.20941811224489548,0.07922142857142589,0.0,-0.024480548469387742
MARCH8,4.962438297193877,0.5991639030612248,0.9223487882653068,0.6398315688775522,0.6565778380102056,0.38875765306122645,0.17927028061224526,0.004592346938775194,-0.024480548469387742,0.0
