,C6orf226,HLA-F,NDUFA13,EIF4A1,FTH1,STOM,NONO,LRPAP1,TIMP1,SEC11C,TSC22D3,SERPINF1,TAPBPL,CD63,LINC00518,EIF3K,SCARB2,EEA1,GPNMB,PSMB8-AS1,CD44,CHCHD2,CSPG4,BZW2,MDH2,HLA-E,PPA1,SDCBP,P2RX4,PROS1,SMAD3,ST6GALNAC2,CMSS1,PFDN4,POLD2,CTSD,SSR2,B2M,CDK4,CST3,DNMT1,SMAD4,PYGB,FRZB,E2F1,ACSL3,LGALS3BP,TFAP2A,SDC3,CTSB,FKBP4,CDC123,TOP1MT,TGFB1,NT5E,SERPINE2,CD274,GPATCH4,JMJD7,RTP4,LRRC75A-AS1,IRF3,CD47,NSG1,CD151,NMRK1,APOC2,CITED1,CCT6A,RBP7,NOLC1,SERPINA3,RNF213,TAPBP,CDKN1A,EVA1A,XAGE1A,PPIA,APOD,FGFR1,HLA-A,SLC5A3,ARMC6,DDR1,MIA,LCP1,CDH19,SLC26A2,LY96,ST3GAL6-AS1,FMN1,LAMP2,EMP1,SLC19A1,NUP50-AS1,TIMP2,IRF4,CCR10,WNT7A,VDAC2,CYP27A1,SNRPG,DAG1,JPT1,DDX39A,control,HLA-DRB5,CORO1A,GSN,KDR,PSAP,SPINT1,NPC2,FBXO32,SOX4,C19orf48,SLC22A18,HLA-C,CD59,LEF1-AS1,A2M,UBC,HNRNPC,MC1R,UCN2,TRIM22,RUVBL2,NPC1,GSEC,TIMM50,SPESP1,NME1,VAT1,TMEM173,IDI2-AS1,NEAT1,ATP5MD,PFN1,DLL3,SNHG6,PIK3IP1,KLF4,ISYNA1,FOXM1,GAA,MFGE8,PUF60,AEBP1,TPP1,APOE,GAS5,KCNN4,HNRNPA1,HSPA1A,S100B,SP100,SHMT2,FBL,CDKN2A,CGAS,STAT3,ACTA2,S100A6,CD58,CCND2,SGK1,HASPIN,TYR,STX7,AGA,CXCR4,GRN,PTMA,RPSA,SLC25A13,TP53,RAB27A,C1QBP,SET,SAE1,TTLL1,RB1,CKS1B,ENPP1,ATP1B1,MRPL47,ILF2,TM4SF1,CTSO,FOS,SLC7A5P1,TIMP3,CTSA,HLA-H,FSTL3,PABPC1,EEF1G,EIF2S3,SINHCAF,PAICS,CTSL,SAT1,BOLA2B,UQCRFS1,NCL,AHNAK,CCT3,GPI,HLA-B,CTPS1,NGFR,IDH2,RRS1,WBP2,UQCRH,TMED10,AHCY,CDK6,PRELID3B,FARSA,SLIRP,TPRKB,MYC,CCND1,NACA,BOLA2,LGALS3,PET100,DDX17,RNASEH2A,MT2A,ROMO1,ITGA3,CDKN2B,TXNDC17,STAT1,IFNGR1,JAK1,IFNGR2,JAK2
C6orf226,0.0,-0.16258105867346906,0.12024936224489835,0.3742950892857131,0.314518558673468,0.6748381377551027,0.7760271045918365,0.5281896045918355,0.526742091836736,0.5145125637755115,0.45511919642856924,0.506419387755102,0.3809852040816324,0.5734973214285741,0.6974477678571418,0.12403628826530522,0.16619349489795887,0.15800478316326405,0.07390994897959224,0.13562315051020235,0.19058456632653176,0.09872487244898132,0.24807691326530268,0.24113195153061184,0.28362755102040715,0.29410911989795707,0.205485905612246,0.29963743622449,0.0009841198979589905,0.3522690051020394,0.11242729591836742,0.10956033163265033,0.24344757653061144,0.2028777423469421,0.17825338010204206,0.10522123724489951,0.05428105867346744,0.1960527423469376,0.18448558673469329,0.2034843112244893,0.2932829081632651,0.22705695153061356,0.27459221938775613,0.41639094387755016,0.29304311224489865,0.2941996811224499,0.25180561224489395,0.12045586734693892,-0.10215229591836916,0.03905433673469361,-0.06051447704081525,0.08958788265305984,0.03813641581632865,0.07573360969387721,-0.05451256377550884,0.12021422193877562,-0.037462436224492635,0.13385867346938696,0.07138112244897954,0.05855529336734655,-0.01092538265306331,-0.09090146683673694,-0.019524681122451426,-0.04273246173469403,0.09350797193877547,-0.026072448979592266,0.042291007653059154,-0.12069088010204254,0.15722672193877685,0.0450387117346942,0.05948839285714591,0.1966151785714274,-0.0061952168367351845,-0.047469260204083596,0.27861243622449017,0.32955312499999856,0.21817691326530309,0.13259980867347032,0.15945051020407774,0.12653405612244661,0.29550739795918624,0.20117155612244808,0.13774253826530725,0.16417984693877408,0.12635867346938667,0.2420135204081646,0.22059228316326518,0.18710529336734716,0.09643278061224336,0.14575669642857214,0.15607563775510158,0.1380820790816326,0.26956154336734706,0.20575911989796047,0.2848735331632657,0.377260522959185,0.32616218112244866,0.2739179846938775,0.3138213647959205,0.23295841836734965,0.1122919005102041,0.042420535714287055,0.23205338010204102,0.2388148596938766,0.2405403061224476,0.2522498086734686,0.19167978316326462,0.13596741071428475,0.23948201530612323,0.12785044642857102,-0.043433482142855695,0.14724049744897982,0.13728667091836755,0.12463405612244927,0.08156511479591799,0.03264821428571274,0.06260880102040822,-0.02031154336734886,0.021341645408163856,0.0025022959183669258,0.0027149234693890634,0.009797895408166113,0.05622149234693907,0.11944426020408017,0.12722863520407834,0.11270331632653097,0.040993813775511256,0.09429400510203934,0.04156103316326565,-0.006757971938776919,-0.03168820153061169,0.03311664540816217,0.13164636479591962,0.17956651785714328,0.15969885204081535,0.22757525510204069,0.2075842474489793,0.20050293367346939,0.17666205357142672,0.16418775510203965,0.06838813775509855,0.22351843112244651,0.22104438775509827,0.21651167091836854,0.20496186224489676,0.42650924744898155,0.41443647959183494,-0.008663329081631588,0.07113667091836895,0.21778297193877627,0.17117448979591465,0.19365803571428586,0.20953316326530746,0.10461798469387595,0.13425159438775403,0.3390824617346926,0.2338742346938787,0.15161543367346653,-0.046744132653058657,0.05741517857142853,0.0916688137755095,0.43354700255101797,0.3630072704081613,0.3126730229591832,0.25219005102040803,0.29739993622448857,0.4808352040816324,0.49101836734693904,0.4705507653061183,0.2969283163265306,0.2871565051020397,0.27380440051020294,0.1838917091836727,0.2755637117346925,0.36013443877551055,0.3779304209183678,0.39794119897959135,0.32904413265306154,0.13327059948979425,0.1182186224489783,0.04039661989795995,0.08314483418367047,0.0407156250000007,0.03551485969387613,0.22199196428571355,0.1721873724489793,0.04745542091836441,0.07636326530612614,-0.11556996173469436,-0.051498915816326374,0.43784049744897935,0.47479528061224485,0.14703233418367212,0.22687123724489666,0.21925331632653133,0.4601874999999982,0.24984968112244665,0.28301396683673374,0.41027468112244847,0.4193186862244893,0.27830892857142864,0.15125408163265064,0.2802760204081629,0.2539730229591832,0.401985076530611,0.3318088010204079,0.4487762117346925,0.38844929846938925,0.3003007015306114,0.44632366071428287,0.6665617346938753,0.3630498086734697,0.26624088010204083,0.31879100765306134,0.2755167729591843,0.5898043367346943,0.5064036352040802,0.6092279974489792,0.43820197704081565,0.5417466198979604,0.6113576530612228,0.7548575892857148,0.5806755739795921,0.4692346301020418,0.5848477040816338,0.6957158801020409,0.5184427933673472,0.4634886479591831,0.2641623086734679,0.26604815051020303,1.0283572704081632,0.8067461734693886,0.841757716836737,0.15912716836734475,0.012904591836736756,1.4226628188775496,0.6433134566326508,0.7750040178571407,0.5390531887755099,0.5123605867346939
HLA-F,-0.16258105867346906,0.0,0.0018492984693896375,0.25317940051020393,0.14873724489795848,0.7447005739795909,0.7758864158163252,0.5897457908163268,0.5888170280612286,0.48763749999999995,0.4776316326530594,0.5712130739795942,0.37393826530612095,0.5449066326530634,0.6008664540816344,0.12786122448979675,0.14571218112244821,0.21838596938775545,0.15919426020408523,0.2539230867346962,0.22395950255102015,0.1767310586734716,0.2814830994897939,0.28111938775510303,0.33075561224489647,0.3289528061224498,0.08588584183673653,0.2628811224489791,-0.0742971938775483,0.3286564413265296,0.04447410714285738,0.04930401785714089,0.15363188775510395,0.07039955357143235,0.08606581632652954,0.051146173469387435,-0.008184630102041623,0.11909330357142878,0.05215427295918573,0.14842487244897917,0.27475784438775364,0.23384438775510397,0.2093390306122469,0.3873033801020398,0.19791492346938888,0.17703086734693763,0.15581179846938475,0.05548705357142936,-0.03633673469387766,0.03894177295918233,-0.07080829081632523,0.04002219387754913,0.04300510204081753,0.06181479591836769,-0.08553137755101758,0.025661033163267177,-0.08117812500000099,0.01676485969388075,0.021862308673471276,-0.005501020408161139,-0.02656919642857325,-0.08308278061224605,-0.028787244897960917,-0.08553565051020406,0.11396415816326666,-0.02909126275510232,0.008440943877550566,-0.07210656887755285,0.15275790816326484,0.12973552295918545,0.08087895408163703,0.10834636479591886,0.04877034438775496,-0.03491307397959176,0.3370936224489789,0.3320374362244891,0.3319643494897928,0.20300599489796056,0.16685044642857072,0.18886211734693958,0.26781670918367695,0.20464961734693787,0.12396122448979519,0.2699766581632659,0.14895235969387777,0.3157134566326558,0.28383284438775647,0.2548146045918358,0.1336358418367336,0.13851288265306394,0.17836619897959416,0.16362576530612216,0.3394708545918377,0.3173653061224506,0.33752971938775644,0.46707295918367464,0.4029777423469394,0.24137104591836867,0.2884025510204129,0.21484897959184046,0.09338558673469599,0.050889221938774654,0.2139751913265311,0.2020179209183688,0.15277774234693986,0.13866849489795818,0.1511547193877547,0.106282971938775,0.2548975765306114,0.13885975765306036,-0.018655420918365806,0.0749779336734715,0.12275535714285546,0.09617774234693677,0.14783380102040944,0.06930440051020526,0.07077748724490007,0.021600892857142284,-0.02270841836734583,-0.018757142857143805,-0.12272264030612234,-0.056564668367345305,0.0030558035714296494,0.1182785714285739,0.09255669642857,0.14853137755102175,0.15761562500000004,0.11085019132652896,0.0272984693877536,-0.0037611607142835624,-0.03651951530612152,0.08765720663265242,0.1092369260204098,0.2265227040816331,0.2661425382653082,0.26230019132653126,0.21612480867347017,0.2055684948979586,0.21812448979591714,0.2653970663265319,0.15361932397959066,0.2599183673469394,0.1870911989795907,0.14334598214285954,0.26204304846938875,0.40955918367347266,0.41470516581632744,0.002349107142860518,0.06017410714285987,0.1924860331632665,0.1455806760204048,0.2223048469387745,0.1457049744897958,0.09552417091836674,0.07667028061224457,0.2978448979591839,0.16626792091836684,0.03959974489795748,0.0499651785714299,0.15479948979591818,0.23930000000000184,0.51069693877551,0.3361197066326529,0.3283010841836749,0.3179649872448991,0.3258467474489777,0.5383382653061215,0.4718401785714281,0.49758507653061024,0.36440325255102124,0.37933456632652884,0.2721543367346939,0.2543291454081622,0.3643761479591845,0.3574375000000014,0.4597366071428599,0.5087942602040822,0.2841034438775516,0.11295491071428465,0.1053185586734724,-0.07946594387754757,0.033844770408160585,-0.035178188775509156,0.0363585459183664,0.09189502551020645,0.18151230867346868,-0.05114464285714426,0.005113201530615896,-0.10003877551020324,-0.09437085459183692,0.3780216836734702,0.40029521683673686,0.040035395408164476,0.12485867346938484,0.12129700255102094,0.3050499362244885,0.14114336734693822,0.2366732780612235,0.35783086734693903,0.21929987244898008,0.2411932397959191,0.09612589285714357,0.15691658163265565,0.20834170918367256,0.2469131377551026,0.19025248724489963,0.3175230229591808,0.4067992346938798,0.20834438775510122,0.2648923469387725,0.758286670918368,0.5424341198979601,0.39449081632653105,0.4726878188775512,0.3865417091836747,0.39412927295918543,0.35990357142856944,0.4153404336734692,0.26690503826530865,0.31380280612245137,0.47711071428571294,0.6831794005102054,0.5983286352040835,0.34820019132653,0.4937913903061215,0.5897783163265302,0.4214364795918364,0.44506045918367576,0.2985559948979599,0.2595230867346956,0.9756978316326546,0.746171109693881,0.8885326530612261,0.3473427295918352,0.1255451530612266,1.4718627551020411,0.7336321428571413,0.8744664540816309,0.570284375,0.6244573979591816
NDUFA13,0.12024936224489835,0.0018492984693896375,0.0,0.321319196428572,0.164795790816326,0.7442903698979606,0.6166262117346939,0.5931012117346963,0.5096880739795946,0.31252417091836904,0.3599558035714274,0.4598247448979613,0.2047218112244913,0.3193276785714314,0.341184375000001,0.12809164540816553,0.3772738520408172,0.5220663903061222,0.4457684311224508,0.46925975765306305,0.49518367346938774,0.4106552295918373,0.3788322704081626,0.4533873086734701,0.34301103316326653,0.25704260204081564,0.061769387755102656,0.19826154336734803,-0.11649489795918022,0.21340561224489996,-0.015011096938776447,-0.021231186224490273,0.029771683673471827,0.006651849489799133,0.08740873724489973,-0.006610905612243201,-0.0770885841836737,-0.0312419005102047,0.018119068877551214,0.057342793367347156,0.2495195153061207,0.13635605867347067,0.14247257653061496,0.161699426020407,0.09296409438775655,0.15242691326530533,0.018760969387752624,0.06025184948979678,0.13013118622449227,0.10119719387754955,0.11544088010204234,0.08261511479591732,0.1478386479591869,0.16496084183673432,0.1544334183673488,0.08206020408163361,-0.0066570790816360415,0.06960778061224815,0.019692729591838543,0.03371065051020672,0.017814349489796655,-0.04168985969387862,-0.013991198979592667,0.019235395408163214,0.22893520408163148,0.2387360331632653,0.1712338647959193,0.1014519770408171,0.20383207908163214,0.22889719387755392,0.1951437500000015,0.08542678571428652,0.05773826530612247,0.018717346938776913,0.47944279336734574,0.38467410714285855,0.28169477040816204,0.18581141581632643,0.3063089923469384,0.24951753826530698,0.32241588010204403,0.3633394132653063,0.17265414540816337,0.29935707908163245,0.1338859056122459,0.2898813775510227,0.24576326530612214,0.30702940051020455,0.24717876275510164,0.20531517857143022,0.29938411989796165,0.2963905612244897,0.3324012755102057,0.32116447704081885,0.4378663903061213,0.41134713010204216,0.26226753826530924,0.1954608418367343,0.23108297193877902,0.20317002551020735,0.16247225765306084,0.030829017857145757,0.1775368622448994,0.08673271683673711,0.06305816326530689,0.1113207908163254,0.1515226403061245,0.1210383928571428,0.14740299744898167,0.11071205357142944,-0.0448937499999964,0.007236479591838929,0.08315765306122458,0.19348003826530658,0.19312047193877646,0.12065044642857181,-0.0005045918367319047,0.11656256377550989,0.10120325255102003,0.09586390306122361,-0.007292219387755594,-0.04443737244897861,-0.04041065051020354,0.16628399234694058,0.20044024234693758,0.18099617346938857,0.1754772959183697,0.16123998724489752,0.2414663903061225,0.20698801020408375,0.0927609056122467,0.18075012755102016,0.06555172193877823,0.1404531250000005,0.296413584183675,0.2695118622448991,0.23498022959183906,0.22420516581632555,0.2788736607142859,0.3395306122448982,0.1918778698979562,0.271508163265306,0.2313309948979576,0.1266889030612255,0.008157844387756796,0.24381147959183913,0.18201683673469304,0.09449202806122514,0.06997952806122676,0.05825395408163381,0.09347359693877344,0.13589464285714214,0.08926977040816375,0.02626084183673605,0.0719694515306113,0.017534693877552243,-0.02308603316326341,-0.07882295918367177,0.12315809948979783,0.2715174107142886,0.32820542091836913,0.43080235969387637,0.2891251275510207,0.31860963010204024,0.36285165816326703,0.3249209183673454,0.45567493622449007,0.3902205994897976,0.35834362244897733,0.2854336734693863,0.46623998724489724,0.3720097576530623,0.32918769132653125,0.3795628188775506,0.3020897959183664,0.33955452806122466,0.4730996811224486,0.28943073979591993,0.2879884566326538,0.343202104591839,0.003251977040820364,0.009668941326530955,0.05235223214285867,0.1993670918367343,0.09071919642857296,0.2028271045918384,0.039354528061224414,0.09908112244898426,0.2107572704081644,0.18436269132653216,0.08683960459183915,0.16062876275510263,-0.06951855867346701,-0.04942340561224512,0.09514304846938693,0.11248035714285898,0.010861288265305191,0.2138443239795933,0.3564581632653052,0.16524279336734438,0.360379910714288,0.16038131377550968,0.18491262755102156,0.21633150510204047,0.14602793367346933,0.22650165816326862,0.3719628188775488,0.406423405612248,0.2862154336734708,0.4628602678571401,0.6938420918367356,0.7444801658163271,0.5982274872449,0.6056869897959203,0.548840880102043,0.276922193877553,0.4926308673469393,0.1574271045918394,0.06131358418367583,0.21742697704081948,0.6449567602040815,0.6497191964285722,0.6601715561224513,0.09620248724489677,0.22183118622448994,0.263321237244897,0.05136065051020644,0.3919065051020407,0.24022391581632796,0.45413475765306366,0.703628252551022,0.5630890306122467,1.0110755739795945,0.6949700255102051,0.4071568239795944,1.876443176020409,1.0645406887755087,1.2113031249999988,0.9646397959183677,1.2231534438775498
EIF4A1,0.3742950892857131,0.25317940051020393,0.321319196428572,0.0,-0.08163973214285569,0.5430517219387774,0.37760006377551036,0.15944068877550954,0.26145255102041,0.2288292729591852,0.21127340561224273,0.2483954719387782,0.25870503826530467,0.11034215561224592,0.22386135204081725,0.2594061224489792,0.3944758290816335,0.2829371173469397,0.3119266581632676,0.3779023596938771,0.2296544005102028,0.3157634566326539,0.3196404974489777,0.19747991071428572,0.3075786352040826,0.09952270408163244,0.15007448979591942,0.24910727040816383,0.15060395408163352,0.2556013392857164,0.06300650510203987,0.009377040816325177,0.17264553571428642,0.08919757653061566,0.13334196428571587,0.036922321428571436,0.1399446428571416,0.2751038265306125,0.175396045918367,0.09884477040816364,0.1997839923469389,0.18490178571428828,0.1312714285714307,0.3001357780612235,0.21663169642857127,0.3360820153061219,0.2738629464285687,0.23623195153061083,0.25223628826530486,0.3033991709183681,0.254574107142858,0.2621639668367344,0.049184375000002944,0.24775344387755283,0.218688520408163,0.10422155612244843,0.08528239795918147,0.03017225765306364,0.1944572066326522,0.16263137755102086,0.07256632653061246,0.11423399234693932,0.044813903061225346,0.05328112244897909,0.11951843112244909,0.10837238520408299,0.11765146683673322,0.17753520408163226,0.16089030612245026,0.15265542091836792,0.06397697704081828,-0.005880612244897776,0.026687117346936517,0.06110994897959365,0.22199789540816361,0.1803573341836735,0.1688967474489793,0.26428839285714467,0.24015471938775335,0.14024451530612048,0.16932723214285694,0.15572264030612182,0.18819674744898052,0.24629343112245117,0.17039725765306102,0.2073489795918384,0.26214336734693866,0.22739387755102136,0.11719323979591678,0.14069840561224645,0.14939234693877523,0.017973788265306823,0.17076575255102178,0.17050707908163254,0.20334024234693793,0.31423973214285716,0.2220632653061223,0.18359094387755093,0.1656349489795943,0.01011575255102315,-0.006885140306120974,0.10278411989795977,0.029610714285713158,0.11142219387755325,0.2723070153061222,0.060844642857141196,0.1279089923469403,0.1704903698979603,0.17493934948979728,0.12639840561224602,0.1910738520408195,0.0703853316326537,0.19292838010203894,0.21304764030612233,0.23608494897959176,0.16926492346938637,0.17914738520408058,0.2733864158163257,0.23633960459183712,0.22225025510204155,0.07075975765306275,0.08736460459183704,0.1437663265306135,0.1063672193877565,0.3033453443877523,0.27484815051020206,0.18744177295918618,0.2020857142857153,0.33047461734693684,0.18959311224489817,0.21671913265306308,0.14030210459183756,0.07729744897959279,0.03725822704081594,0.15831556122449086,0.2021450892857164,0.19184783163265529,0.18309151785714306,0.21551938775510138,0.28070446428571394,0.08305797193877318,0.1574163903061212,0.16370484693877252,0.25636588010204164,0.3181535714285708,0.3136009566326532,0.3100500637755097,0.30271275510204276,0.23258775510204366,0.36051530612244953,0.2752068239795893,0.17450286989796027,0.3141654974489807,0.26635656887754955,0.23115892857143017,0.20901479591836924,0.1310253188775512,0.12833839285714177,0.41371007653061476,0.3199131377551012,0.294269897959186,0.49645433673469697,0.3550864795918365,0.41896473214285557,0.31997238520408366,0.20828227040816039,0.35784878826530786,0.4349663265306134,0.31203622448979473,0.2579325255102045,0.3823169642857138,0.34436485969387753,0.3862459183673437,0.1573460459183682,0.27271364795918274,0.3368565051020411,0.5283079081632636,0.36463271683673604,0.47238418367346924,0.23686345663265485,0.23401020408163298,0.4103146683673451,0.3295917091836742,0.44635656887755104,0.20283992346938717,0.4615697066326536,0.13037525510204162,0.17963309948980033,0.27201237244897847,0.33852716836734764,0.3706322066326546,0.4320369897959182,0.3515584183673486,0.29130669642857043,0.32766065051020554,0.15977608418367417,0.1651726403061229,0.061786926020406696,0.12718514030612127,-0.011477104591836707,0.17005688775510386,0.1027145408163257,0.2665552295918374,0.026886607142856178,0.20309866071428573,0.28326926020408294,0.2588272959183655,0.2886878826530612,0.2581767857142854,0.22448724489795602,0.32861594387755133,0.5078477678571431,0.46260133928571356,0.4659264668367342,0.24474910714286047,0.541967920918367,0.4168297193877528,0.4376853316326539,0.06004993622449106,0.28638832908163536,-0.02703188775510057,0.2612586734693867,0.6477110331632652,0.29152008928571327,0.3316331632653071,0.30419821428571403,0.5114126275510209,0.3128147321428596,0.6247008928571454,0.37982423469387605,0.4796864795918392,0.14900350765306314,0.5968650510204121,0.3985032525510199,0.4409775510204099,1.4725326530612257,0.8358395408163268,1.0287426020408184,0.9126917729591817,1.039424170918366
FTH1,0.314518558673468,0.14873724489795848,0.164795790816326,-0.08163973214285569,0.0,0.625793941326533,0.5037672831632651,0.3396922831632665,0.3526728954081655,0.24887149234694128,0.3383343750000005,0.38465019132653033,0.4191722576530612,0.22618437500000255,0.30682232142857124,0.23051084183673431,0.2359399234693882,0.3264668367346939,0.19880950255102192,0.31920707908163415,0.2581903698979584,0.2768244260204078,0.20466396683673338,0.14442525510204085,0.2418177295918369,0.2115805484693869,-0.03878954081632635,0.3935338647959181,0.1110180484693899,0.18420293367347185,0.1367924744897948,0.06304738520408115,0.08790650510204046,0.04007104591836885,0.07335918367346927,0.08022391581632604,0.025424362244896415,0.12574917091836824,0.08463826530612195,0.0804588647959168,0.22664496173469217,0.1746315051020435,0.12202302295918521,0.25371237244898026,0.15375829081632908,0.21839923469387834,0.14624579081632483,0.13228667091836854,0.2160566326530624,0.2793507653061216,0.23689757653061427,0.10543743622448964,0.04222034438775957,0.22344566326530746,0.065699489795918,-0.020117474489794063,0.04583086734693609,0.0038676020408185963,-0.0002224489795903395,0.006929846938778184,0.0160241709183655,0.05532933673469209,0.0016373724489806563,0.06019209183673446,0.1381731505102053,0.14546147959183742,0.10264056122448828,0.1332930484693886,0.12742002551020626,0.22053514030612398,0.00940982142857294,-0.0035852678571419716,0.06931996173469201,0.06755529336734867,0.29847136479591896,0.17961205357142873,0.2481139668367316,0.1874774872448981,0.1854813137755098,0.16077423469387853,0.18558820153061362,0.2795086096938775,0.18716709183673608,0.22316065051020573,0.203917602040816,0.23840994897959256,0.18558558673469605,0.22916109693877473,0.19454170918367275,0.1847656250000007,0.24125331632653335,0.0907410076530617,0.24230484693877585,0.31668679846939085,0.34692933673469284,0.36724757653061246,0.2470117346938796,0.11974878826530677,0.2061334183673491,0.09599547193877989,0.09026645408163425,0.0861638392857138,0.14742480867346863,0.09708316326530664,0.15667735969387842,0.046624362244896744,0.11654808673469574,0.12660758928571525,0.20201594387754973,0.11699687499999989,0.16373794642857398,0.0028431760204110645,0.21489559948979498,0.1480617346938775,0.21162716836734852,0.1433196428571435,0.059517729591838986,0.18352863520408214,0.19641619897959295,0.11058309948979428,0.051608227040816246,0.04136932397959292,0.04763354591836766,0.19632506377551273,0.25073756377550893,0.3371153698979601,0.2366027423469408,0.1987779336734672,0.25954808673469465,0.17657283163265447,0.2096301020408191,0.24274119897959068,0.10692091836734896,0.2141973214285695,0.1348702806122457,0.12692480867346845,0.2349556760204088,0.24421186224489766,0.24432410714285702,0.3781091836734696,0.07991581632652967,0.22919923469387804,0.06224394132652833,0.11981122448979953,0.36447391581632793,0.37420880102040854,0.3909610331632667,0.3056112244897964,0.1860705994897991,0.2283856505102051,0.1712521683673458,0.23517946428571257,0.23781396683673606,0.3166550382653064,0.24805427295918392,0.10240076530612185,0.18425191326530843,0.08627436224489848,0.3507179209183704,0.36806473214285695,0.3820496173469383,0.5706340561224525,0.3118630739795929,0.40178195153061225,0.4018114795918386,0.3774119897959167,0.43910038265306106,0.4139929209183659,0.34673469387754885,0.39945911989795846,0.38327480867346786,0.4190227040816339,0.4269693877551024,0.347375765306122,0.44035899234693865,0.5122987244897974,0.4251938775510187,0.20230931122448936,0.3401826530612251,0.1799181760204096,0.1808586734693911,0.1410100127551015,0.20219330357142873,0.24529253826530528,0.01663526785714531,0.27979942602041064,-0.020429400510204587,0.07108469387755534,0.15992646683673684,0.11396938775510179,0.3113275510204083,0.3892104591836745,0.13362251275510317,0.1273114158163242,0.348534119897959,0.19488705357142777,0.2277179846938786,0.021826020408164837,0.1402929846938772,0.05741198979591822,0.06148348214285804,0.051122385204079634,0.14898494897959402,-0.02102742346938591,0.0552190051020407,0.18161460459183765,0.1485757653061217,0.25682385204081903,0.04856275510204,0.20297008928571358,0.5594144132653067,0.5951431122448998,0.5856154336734694,0.5822436862244924,0.4105132015306161,0.6011070153061251,0.2796438137755093,0.35096817602041064,0.10527965561224484,0.26638367346938985,0.1918197066326517,0.26828526785714146,0.6470563775510261,0.2329279336734693,0.37855663265306205,0.37790918367347004,0.41294859693877584,0.3718913265306121,0.4898931122448946,0.4328352040816341,0.5761786989795912,0.28356447704081766,0.7295978954081637,0.6106173469387759,0.4141322704081656,1.4329842474489798,0.8114661352040802,0.8326379464285711,0.7948652423469387,0.951885140306123
