,Dox,control,2i (LIF+MEKi+GSK3i)
Dox,0.0,0.04964669818398552,0.04340266754919355
control,0.04964669818398552,0.0,0.04173968025420104
2i (LIF+MEKi+GSK3i),0.04340266754919355,0.04173968025420104,0.0
