perturbation,63(mod)_pBA580,Gal4-4(mod)_pBA582,IER3IP1_pDS002,SEC61B_pDS033,ASCC3_pDS052,DNAJC19_pDS026,HSPA9_pDS088,HSPA5_pDS017,YIPF5_pDS186,SAMM50_pDS156,TARS_pDS405,XRN1_pDS411,GBF1_pDS043,TIMM23_pDS284,DAD1_pDS499,SEC61A1_pDS032,AMIGO3_pDS434,SRPRB_pDS404,SRP68_pDS403,UFM1_pDS040,TELO2_pDS496,FECH_pDS494,MRPL39_pDS498,IARS2_pDS091,SCYL1_pDS160,DARS_pDS495,IDH3A_pDS393,DERL2_pDS042,SEC63_pDS218,TTI2_pDS408,SYVN1_pDS442,SEC61G_pDS440,SPCS3_pDS402,OST4_pDS353,ATP5B_pDS055,SLMO2_pDS433,FARSB_pDS390,TMED10_pDS036,PSMD4_pDS488,EIF2B4_pDS491,SLC35B1_pDS046,EIF2B2_pDS463,ASCC3_pDS051,DDRGK1_pDS041,GMPPB_pDS391,SLC39A7_pDS219,SRPR_pDS482,TIMM44_pDS430,SPCS2_pDS401,UFL1_pDS410,PDIA6_pDS029,IER3IP1_pDS110,YIPF5_pDS226,MRGBP_pDS124,SCYL1_pDS159,P4HB_pDS397,MANF_pDS027,PTDSS1_pDS478,TTI1_pDS407,DNAJC19_pDS074,MARS_pDS394,SRP72_pDS505,MTHFD1_pDS395,EIF2S1_pDS386,DHDDS_pDS383,NEDD8_pDS396,TMED2_pDS175,GNPNAT1_pDS506,CARS_pDS460,STT3A_pDS011,HYOU1_pDS089,ARHGAP22_pDS458,SEC61B_pDS162,CHERP_pDS024,SARS_pDS467,TMEM167A_pDS038,KCTD16_pDS096,SEC61A1_pDS031,SOCS1_pDS479,AARS_pDS381,SEL1L_pDS373,IARS2_pDS090,EIF2B3_pDS508,HSD17B12_pDS087,DDOST_pDS382,CCND3_pDS006,QARS_pDS510,HARS_pDS466,ATF4_pBA608,HSPA5_pDS371,COPZ1_pDS462,CAD_pDS468,PPWD1_pDS398,COPB1_pDS065,GBF1_pDS044,EIF2AK3_pBA572,*
63(mod)_pBA580,0.0,4.783169578149028,29.95423058683312,7.521615159418758,28.129126661206953,107.9494006675609,172.97530452765506,95.80084792863221,15.22597652088399,42.12537734738106,39.77346653300893,10.55931571637484,9.343855513077614,18.187260466888574,16.41996493912484,80.29863196322444,8.021267687166784,16.76679478701604,26.61426906901977,5.583110636674462,19.685963854501637,21.850336378186853,15.854258817348608,125.86302220038573,20.85324477946628,37.22410580559324,8.972298014955726,14.213453287684189,5.8319304385231305,11.797119380619733,4.72761048035764,21.01727051612133,21.587784582252624,7.279739567829665,25.48976630630355,93.68629755476883,57.11027860559969,15.148184695443774,68.6827158717025,58.957102993089904,6.578630375988439,73.86119034003829,14.154037445263299,5.72143432267012,4.523392789152069,16.071664101009702,7.012831659875076,110.17401330533568,6.957043541526076,4.982976588470706,6.795360783894438,31.972053939430708,20.915723038615397,6.250849317286139,21.93495443720542,6.640965281596209,6.363630365114403,4.149716868360429,39.876975916437374,45.550141836441355,56.334337461195986,6.490437144287995,35.080791141925005,228.4690509798222,79.95082377534447,52.1411093339224,6.338260808869137,4.077240371544775,218.71466274501188,8.470318611773934,5.675043579486413,16.409271667262573,7.068405778925182,36.14618883246533,108.31566172044248,18.32908018951639,10.692357355402635,65.85223760164527,12.251751216268303,135.9378725888912,15.319404106247447,109.74595686924093,151.11242895584815,26.358374991977684,21.708460943426047,24.20276537331327,130.07145643391374,105.98494640747572,23.67643174754963,136.60827417445273,74.42261154232472,47.993631269896156,44.67307212688823,39.26102372298428,71.3046581145407,26.693889507231688,18.86056123687908
Gal4-4(mod)_pBA582,4.783169578149028,0.0,20.448382111573494,6.909319986736591,27.092952814049028,88.77844485238384,151.78739289855318,79.7309837360344,11.243569453069966,34.67860720719361,32.75207384629897,8.7599938908144,6.36929677315095,13.773081899240168,13.540019412534974,68.24964060037706,5.844564155621299,19.657971725849734,24.45424853871046,4.55610499086211,13.635858110815548,17.970460856961523,16.321906217345088,108.10622892576478,13.666588038099974,27.97388470588865,9.25096677623361,12.074097795679222,3.832680205131851,6.639611511711536,7.103204618602774,16.21682598259133,11.500501242537155,4.480007502917914,22.070537534169887,75.65739806680565,45.79517415501243,11.444031393853692,62.890333259890696,47.349676912250715,4.233584336892051,61.0839477512917,16.907592005268953,4.821538810511157,5.4395969543197396,10.9423653725961,8.472571379177253,93.32971663485645,4.846528989021124,4.846838612409982,5.63287723622193,23.73161550171625,13.434073294002161,6.977021632820197,12.976802692263135,4.7061876834643215,6.004320175155783,3.7104444361960134,30.852679758097736,36.68142934708206,45.31021323463756,9.58172040565836,33.06791490510358,200.01737359620122,62.95519382136038,41.8050115995656,3.6859167016058336,6.135650640582639,191.99397313111868,6.366048911010353,7.653415049249304,13.589156700014712,5.74106448058356,33.731427022352335,89.48784152510297,10.189802857648743,6.078940112787478,56.52748099030157,9.201687514395502,117.29053488642174,12.755827364167999,93.45109742261212,129.64017259993923,15.845215896359889,15.652734269890288,24.482529536331526,110.39667336091296,94.94379981241954,19.215067502357215,117.1363737508639,58.12094775170297,51.1581635490889,36.49549459447928,27.148455905691492,55.03957116210924,23.468975981864645,14.806718760044305
IER3IP1_pDS002,29.95423058683312,20.448382111573494,0.0,20.584720118025757,35.35840857322583,79.02990797447646,127.16190621108464,54.97989728087654,13.148353570743637,46.00563775164531,33.01139194336042,28.617683518910695,14.81664874973103,28.45794274183598,15.62454991761794,46.212148952507334,14.58784760619028,30.826421461274094,23.861654696593604,21.787005415288746,22.263525355955778,36.945344981855015,36.6157231061639,90.51202893713136,9.229626312527841,21.638021602780526,16.247884673644535,15.443759311268991,23.905182662478126,19.3851139533634,26.65710747152076,16.905354499381872,13.84737819519546,21.548909030601834,36.15683962023451,73.81054113538639,42.54303320394047,19.346960469130153,74.66768325022659,45.31498557934148,16.947001990052314,61.7816588759826,40.6510307972747,23.224281786675334,19.13802254848818,12.838783265469942,26.54845471442664,84.09038420351467,21.199946870063968,23.483269663840844,16.852980955233306,14.338912939537352,14.930940487091817,30.23267290201619,8.585488483278567,26.176814311042477,24.839812039264416,21.89411019758697,33.02709676744462,45.199254660748835,50.290990374159776,27.066433369813524,36.30116049447503,175.2308534828483,23.903226857789974,51.05672904884494,20.58981707483099,25.30341179982446,158.30273241042212,20.64615341828926,24.034025442450684,18.217626358553787,19.730888932783074,40.97615185140873,63.51682539162681,13.802071404239399,14.179215619396615,40.10649128970698,14.007287747468041,98.46647321331622,15.855289449100155,81.99040310243748,106.53571316927778,26.44315748310919,7.841777598909289,29.659137962898455,85.85490027079871,72.45392351729228,21.136593206437965,86.30790498759441,43.559175017433944,61.99133289715968,30.56936769926733,12.786074459819929,28.619110629150697,30.612894483711244,14.167152805269893
SEC61B_pDS033,7.521615159418758,6.909319986736591,20.584720118025757,0.0,30.876678470058124,90.22922641981549,143.12430966897298,71.0989886697441,16.012073617647417,40.1190972591086,32.914266750519516,17.42887988447015,8.030860902092002,18.516278739163653,13.954864215020478,65.06550445775417,8.884856087064634,16.215442375082944,20.03838072526034,6.437061002541867,17.84212772289527,27.856351259895263,19.0719008747584,105.72327749513315,16.652876009923943,32.03713187592169,9.994870431268396,15.635744571176247,7.965617384637824,9.209391841188022,6.683655900829763,13.102328375942875,12.445886172954886,6.399973755499246,25.95111435979004,77.50868515566938,48.29822372809565,13.398158771571644,71.60585194678944,49.35457522426529,4.111620951677793,67.35685092846882,22.441992053085528,6.119142147353529,5.1290974731370795,10.53426150402322,8.914198284820628,97.57880733298057,7.932614754195583,6.7013245868459705,7.239023002890974,27.91543892438608,16.517745608635693,8.690444093976396,16.17314309045375,11.788350075393652,7.502161112634042,7.37707826962523,36.613831133661336,42.154396794135636,49.80744842146379,11.139169402113396,37.449634045171535,197.43732494156293,58.584630960394264,61.750496242023814,8.81688967265967,7.921836740804736,190.3417736676403,7.724303202403291,5.448527160902074,19.865940748957144,4.3645721199975185,33.46457249103568,91.18441066739774,12.835459238562379,9.680299585892811,51.903101475087965,7.045311513447103,115.378170070155,8.131782048928983,91.41513198530663,127.22217104947109,28.905514687886637,14.161687524174283,27.796039680033175,108.93186871395923,88.18982061094826,15.534137426397422,107.54008517439021,64.92288383990044,55.31968512537611,43.17274994455522,31.059219377191766,55.28777486267572,24.52083637869393,15.22218417590642
ASCC3_pDS052,28.129126661206953,27.092952814049028,35.35840857322583,30.876678470058124,0.0,94.28104655117892,149.09624696412516,102.32761091272471,33.46987398533088,52.40235088258328,43.5220714494678,32.19716673192232,22.002355278547014,33.25929213342931,20.80620011057681,52.21087908615746,24.46297536999529,24.487162206034412,18.104262530942265,28.562645201866246,26.108662448016133,27.986594850185554,33.05947998841688,103.89152625066981,38.13456286256914,33.563195918560666,26.428463307828878,25.49587246041156,30.014304059835837,25.38572019238228,31.28786618603587,27.232906558128576,28.1935405033245,25.3552252184507,40.597255102611285,95.1485981188527,52.857235343112194,19.22863352469699,86.68114362793716,58.52295128766218,24.155657918644124,76.73881128144856,8.653156799575896,24.395840650852165,26.130334044282165,20.553835454984068,22.90849313155303,96.05040571983398,22.471833861990802,32.6438238686718,19.195136070063512,40.29415937663046,40.184383391715755,37.11719445891433,33.081200559135084,32.05460087195581,27.010102663822153,29.684389753347602,49.37041914172525,51.858833607458564,54.91354893847134,21.45702110795483,38.21330421691604,193.75946756661727,73.24183959475113,66.53017227813339,20.215407313990028,21.169726274716623,178.00983608949258,22.53134048873804,25.7670053867449,28.539999282545836,29.79509062872131,49.590825112842765,88.22946440717868,31.043458001756562,22.89131461752646,50.8178766030812,29.48208392901256,116.97578903559162,31.24146617348569,98.03163992092544,127.81195694137995,35.435098522261654,31.022380299164155,48.02919837742084,103.81275787118216,84.53561016313745,28.778949636230806,135.34978510145777,60.56860006588232,81.41831974655545,41.97967684701629,38.09990516526918,56.36809396965066,34.41641474434829,19.98505056053412
DNAJC19_pDS026,107.9494006675609,88.77844485238381,79.02990797447646,90.22922641981552,94.28104655117892,0.0,32.90691838408287,85.79813345326949,95.20375401741984,33.93042136817235,29.501900646133976,99.93095109442402,77.70516829344243,49.811894576691486,78.25645228849652,57.244984860622225,79.4880434360123,91.72689445490221,78.57612169535105,87.44851693920447,81.1329919890886,67.446337693592,65.92909983130474,14.758921776646275,80.01603420637227,45.299694922345225,82.00059658897024,79.15226759859664,86.73091860244236,77.8417613394995,102.3298256249692,75.76502605995407,59.52646504535036,81.68606717481907,49.00117759042351,10.716361203898941,18.975018443984283,73.14861231483007,146.20045932425933,17.66147406091102,85.73399521047844,18.22574460714921,99.5172717866568,90.94951798369442,90.0239074229969,67.38159605763948,82.86249271046574,8.78130703733126,83.68166003811186,96.28974042411221,83.74422963416751,69.70294475827293,84.17836253017146,102.18698600118068,79.6095310260331,98.08867635692866,93.31029369179805,97.95794076416468,92.79133623031964,26.804308727068587,47.57607583705558,98.84243210657189,80.14277484539102,44.69388882411923,63.57388003952531,110.87590025645284,84.36097456075939,96.14028637137358,33.54220577043603,89.66417801281568,93.32715878378337,83.1848281821872,92.89505014324214,83.10705677214463,15.885441545758482,77.37267810018062,82.33776047499134,59.26854587763282,79.22252941103937,18.28375600118551,93.91214605118375,11.564957742909797,11.854649470952467,65.86293665005891,77.82787033768707,115.64111999330339,18.702940032379445,30.945834731166883,82.89692767272814,90.47430133916737,47.215307209036894,160.3560203049111,75.16969365484036,65.06293201937788,51.969744762486755,66.22068869955638,70.66123370138482
HSPA9_pDS088,172.97530452765506,151.78739289855315,127.16190621108461,143.124309668973,149.09624696412516,32.90691838408287,0.0,98.1476242707414,151.41526809621564,79.040038774496,83.66289264497419,159.82353072055452,134.01970621166998,118.07951524854622,123.858491935021,74.68067965243273,128.2444599953438,136.83142882132557,115.65845083456043,150.8255836520687,136.89837856750563,128.71687275318283,129.1251585646242,13.250859639799899,131.08718637180795,93.45019372917494,138.26289307619828,133.36297361489977,151.8842268741675,135.88674602476885,162.42170727042975,116.2180951049184,110.95378327067175,135.8109213159919,107.64412260991168,31.453835121388977,62.3087652898011,127.41071131019851,183.8522677886894,68.24058401984882,148.06051287087968,72.57318017401866,162.4817951483165,150.32149682715078,143.1342785548257,119.46384430929169,135.51016180662788,36.082710829611756,145.7955375286295,159.43408538957317,142.3945174320932,115.6792082543572,147.0284181882896,165.2555853243761,133.54919232629112,158.45024390874391,160.26571429538404,162.28936998589063,143.62839712334363,80.01810167126229,82.2541764791635,155.17319762740254,120.75323310931907,18.65930825227943,91.439090567464,184.8768220185662,144.37374876532323,156.7363907411946,32.16751835139581,148.3421146190048,150.63388724710688,141.95462141182765,153.11434985550676,125.33154401810003,38.22027844743906,132.76858989987255,136.06403099241703,77.31581304968387,128.0263271633122,37.55256062942493,140.78463432166365,21.515048249428474,21.862594566181514,119.17133481853381,123.9651259957663,166.51340476840682,25.21432416297779,48.27493111520943,126.64699415860042,88.4011426899607,76.90492988479889,223.10452862566643,106.59148707587207,107.7175558654929,67.02390924734436,99.29438620415743,114.06037293220726
HSPA5_pDS017,95.80084792863221,79.73098373603437,54.979897280876514,71.09898866974407,102.32761091272471,85.79813345326949,98.1476242707414,0.0,61.44856522414506,79.30999680869354,69.27478150375526,87.79954707239364,72.64816166981501,79.26735866430317,69.62616277276874,83.45384829155086,72.3613050499286,95.87788136916737,82.99199567611191,78.7918691500729,89.16159460248394,97.44219656894387,91.06029812974253,85.420259875243,55.96511423015551,75.23456232768342,77.53092619283194,70.32373537822951,83.85769440283144,77.25131248218423,80.80174222880265,64.83696025320211,51.184982022697966,75.73749123800991,84.71212397080757,69.92523571677651,74.25944393972844,81.68811937785318,142.64828105444695,70.67168506830956,77.84818423468636,83.38024141553154,112.85223202255071,81.63599814557261,73.92704136311045,59.77324912427122,85.25303521014905,87.55669738013455,82.07121942808118,79.48585328908734,78.37817958329612,49.837233153161435,58.062124758975415,89.29572498817953,62.75244337649917,87.17476900911214,95.68885126457707,87.58623430417555,89.07356304599745,76.20963625792768,82.94430471515608,93.74960560634366,94.93024443744076,127.11443711361204,32.88177498411369,122.23783983385869,84.06275124476525,91.61851490051953,139.91374647700803,79.59001002227541,88.61818321029017,88.03807151942732,72.73341695432532,93.58183701361696,80.80039008743591,56.97398411419664,72.23448969925641,68.92771089736397,51.324948973612436,96.5478671131799,64.00357666727945,77.41640998752308,92.14024356623264,76.67074197797712,56.31873878181085,101.46912056071841,83.02476184439615,95.36311497932059,86.11106771762849,9.061742043157324,68.5668680972949,138.22002793543692,79.64826736300421,56.34952299312914,38.31233330193902,66.37653673145803,70.57525092663553
YIPF5_pDS186,15.22597652088399,11.243569453069966,13.148353570743637,16.012073617647417,33.46987398533088,95.20375401741984,151.41526809621564,61.44856522414506,0.0,41.91223694058016,40.0849093359997,15.277447356938126,13.048930230047773,23.288303743987058,14.554136795735587,64.76010057099765,10.534450821942556,30.208896249677224,30.65677353593992,12.78912956667881,24.096545235095135,25.050054653410996,28.701472577261455,109.57394189971086,6.54631298278818,29.381710127150484,12.066981942160652,13.503360466330008,12.935982654841467,15.18276112324611,13.603098930906498,17.455898700604422,13.069673609467571,13.275337206964082,31.267079563167528,80.36827121687207,50.92997926551092,20.01148936970918,76.30210670963771,50.82452115042764,13.449286329948734,64.57887727106831,28.813288881174202,11.465400368027588,10.226025840406919,10.438051723310735,20.09236326886412,96.35966207605918,13.949281825911186,9.894440126751363,9.732211481927692,13.533910323457604,8.858314924754325,17.88927120281025,9.232809511192215,9.60067131812957,20.98724157072533,12.394176977961877,33.23155566572845,43.093328022987805,58.16663193005493,18.02000706296522,38.35934783728359,197.623067299223,41.654004354605206,43.04457134884328,11.534528814032768,14.160745117311336,188.50834837317285,10.4675458553385,17.31188020561231,19.197126458130157,9.99796025965685,40.16594110107337,86.28490044732908,6.539038261985752,8.358841035096475,51.05610844153537,11.990809248567587,115.64683492531276,12.060167003297266,97.3474410351727,127.94988942448134,18.32051674645183,12.021753966332739,28.978291350084902,105.95451290342186,93.2772719184,31.139647939388993,94.9462831178945,51.16556032861513,63.54285762280594,30.800848976787535,17.9420079339948,41.08123734921571,21.772145948130856,18.707629239548197
SAMM50_pDS156,42.12537734738106,34.67860720719361,46.00563775164531,40.1190972591086,52.40235088258328,33.93042136817235,79.040038774496,79.30999680869354,41.91223694058016,0.0,13.830535173401444,40.14976252706572,28.58593393594677,14.761880738900231,39.87073439485829,55.3364579399084,28.827727821569482,48.76773879412613,47.255607990342526,30.28037093331909,43.28503801146482,16.696501889034323,17.573948322871928,50.272914538291104,36.80708742879213,25.065449531033096,30.286702199781786,27.59611767996924,31.57395884104804,36.29546624060322,41.21672300276501,38.020299976248936,28.54665259660024,33.62926023507441,6.828648467143893,23.769448155334942,17.180974671129974,32.48936373119949,106.62060030312063,14.530426190118305,39.26946217415366,20.752520658783936,44.46376329241153,36.08049831388223,32.61563285410875,31.3039971709147,33.52213755610404,32.10490262878875,31.916368967786383,35.576325822697015,34.00087225776079,29.53981264996773,35.40078871794458,44.474989287025124,43.84197571845323,35.34088355368044,41.75535832892828,40.067042925352666,57.86013717679688,7.656284239798879,41.46709377384465,44.58900337539225,40.00838698855463,114.92740618796097,64.64092868748321,51.48515314260649,33.178609154094175,37.78468638408194,109.03528347260465,39.753365807692575,40.493668211838525,39.74447852131473,36.53493694439186,42.463834605047225,42.16420806176254,30.1463844180538,36.27198381258614,44.41226065494706,33.29635493554292,59.860029129740155,49.15518574317596,33.83198952455254,56.8259742104847,20.755373919256414,43.55247806106408,67.30332869854087,54.388566872438844,61.267218653663235,51.22978642005907,92.37725498415483,32.87257502522425,97.4245050955924,39.68886265748884,34.5263943975194,44.92736821606479,20.670821202410878,38.59008212577126
