perturbation,control,ACTA2,B2M,A2M,AEBP1,CD59,CD274,CTSD,IFNGR2,CSPG4,CD44,FGFR1,CDH19,CD58,APOC2,APOE,C19orf48,ATP1B1,JAK2,AGA,APOD,CITED1,CTSB,AHNAK,CDKN1A,CTSO,FSTL3,FBXO32,CD47,HLA-DRB5,JAK1,CHCHD2,CCND2,FMN1,C6orf226,CD151,CMSS1,CCR10,MFGE8,CDKN2B,HLA-A,BZW2,CKS1B,IDH2,GSN,CTSA,CYP27A1,EMP1,CTSL,JMJD7,IFNGR1,ARMC6,DLL3,NT5E,CORO1A,GAA,DDR1,CDKN2A,HLA-F,LCP1,GAS5,CD63,LEF1-AS1,SLC22A18,HLA-H,DAG1,ENPP1,CXCR4,LAMP2,PSAP,KDR,CDK4,LINC00518,IDI2-AS1,RTP4,KCNN4,EVA1A,NPC1,GPNMB,IRF3,GRN,LRPAP1,LY96,RB1,EIF3K,ITGA3,CGAS,DDX17,EEA1,HLA-E,NMRK1,SDC3,MIA,KLF4,MC1R,NPC2,SMAD3,FOS,STAT1,PFDN4,HSPA1A,TGFB1,SLC5A3,RBP7,NSG1,FKBP4,CST3,NUP50-AS1,IRF4,BOLA2,SDCBP,S100B,RAB27A,BOLA2B,TSC22D3,SLC26A2,C1QBP,TTLL1,FRZB,STOM,SOX4,TYR,SLC25A13,SERPINF1,HNRNPA1,SEC11C,S100A6,LGALS3BP,LGALS3,SCARB2,SMAD4,CCND1,SPESP1,ST3GAL6-AS1,GPATCH4,TAPBPL,PTMA,HLA-C,SPINT1,RNF213,NME1,DDX39A,SP100,NEAT1,TIMP1,TFAP2A,ATP5MD,NONO,NGFR,WNT7A,STX7,PIK3IP1,WBP2,SAT1,SGK1,PPIA,PSMB8-AS1,SLC7A5P1,E2F1,TM4SF1,VDAC2,ACSL3,MDH2,TMEM173,PYGB,ISYNA1,PROS1,SERPINA3,TPP1,SERPINE2,HLA-B,TP53,MT2A,STAT3,TOP1MT,SNHG6,JPT1,TAPBP,LRRC75A-AS1,TIMP3,TXNDC17,SLC19A1,HASPIN,SHMT2,SET,ST6GALNAC2,UCN2,TIMP2,SSR2,TRIM22,SLIRP,VAT1,GSEC,CTPS1,CDK6,XAGE1A,SINHCAF,MRPL47,NDUFA13,DNMT1,TIMM50,PFN1,RPSA,FBL,PET100,P2RX4,CDC123,RNASEH2A,UQCRFS1,NOLC1,FOXM1,PUF60,PAICS,UBC,PABPC1,HNRNPC,UQCRH,RRS1,CCT3,EEF1G,MYC,TPRKB,ILF2,NCL,TMED10,ROMO1,POLD2,GPI,EIF4A1,FTH1,PPA1,PRELID3B,SAE1,NACA,AHCY,SNRPG,FARSA,RUVBL2,CCT6A,EIF2S3
control,0.0,9.689225309611345,11.33295067060476,5.045118790506507,5.996826851079675,5.306522550556394,6.827970454294274,11.09899533816727,36.36599292308688,3.7733839673109344,14.748052744647737,9.544327217272041,11.213688395272897,7.7374494523947135,4.7617934240890065,9.06210295650078,8.529779102632887,7.624831300549118,41.703363452832434,10.060076504640477,8.126102121875022,12.187263452475293,8.94332112702142,9.311524298961785,5.2063198104594335,15.090302581370736,7.975998716279918,6.49460831106822,12.52750362563205,10.767588338574996,52.10438024074506,9.73620580070994,12.242972743636585,7.721002636904728,8.519022942912557,6.2739901678927765,5.187276976935664,11.589841913865001,6.393131269141804,7.313375428367351,9.090202354239864,6.344609770065915,8.47065717681997,13.083276729703812,10.15964062611593,7.505572221274093,6.66833963528876,13.762934844128552,6.732643248305493,7.568206403318442,31.910551117552814,6.588059409839872,8.710880952201535,9.016832758857305,12.162501996415614,5.4520144485757385,6.250316020707999,7.920058906043266,6.940715551410392,13.568351660260873,9.007660123265907,5.97091689878917,3.473888014738236,8.982521199243394,5.729890028206398,5.429148694145823,12.338750123659736,10.33935411935957,6.069830939814096,9.345567531295814,6.537442966415341,14.446667566886248,4.336112894138921,14.040097977663123,6.2673869087707885,6.611819608757344,16.873493247992286,6.5247571727187506,11.181072822104653,9.133800811611508,6.466801922426413,11.851524655845225,5.674940616970616,12.306820099016733,13.714497639874082,5.811991241616056,5.2068450072754615,9.44303712599256,9.904943503558627,7.260037332452242,7.244273776080803,6.355726319919967,13.606804254131987,7.279360234882546,5.55336625091914,8.73519225115922,8.400469746411147,9.440823443988023,41.70046709634158,9.62191103772247,6.72621304722918,9.802542297078475,12.504099242684845,11.069087414276083,7.6124684592798815,9.36576466398833,6.36899110489108,7.809735390148177,6.277126155082783,7.104314795751975,12.902231882401395,13.471917541886967,7.552234746155904,9.813514025906784,10.022611429289327,8.259616753105746,9.992842595836322,17.05652191266998,5.472909036155414,6.4549544777959795,11.66759321207067,6.850462203571652,8.03643610497366,9.51951585017926,10.178113998234124,4.500231798727924,12.28230581479417,8.986539256957172,8.241594886304767,8.637151243117614,10.580410047657978,23.254383451744502,7.167001687240315,5.236005893804332,9.410950965825151,7.610391391204274,16.299300812307706,12.003191016007662,8.913726505506844,8.448484085782496,7.025306334511384,5.007879003391849,9.914240139952653,11.421568079782332,6.27998619883752,11.930615173712823,14.564473975132131,8.452719308515924,7.4539155574282745,4.655353098707792,14.09336455221964,9.655507014312377,10.375932896503969,9.238677834194476,14.788139616997455,8.70038516737526,5.236892534138292,10.554927849513604,9.166516985086105,10.041440597133658,6.944532223308244,8.528976841693236,11.067212277340417,8.878085378784931,10.076223706034597,7.856265920793305,9.19256618337974,6.4916381972115005,7.808739825131767,7.9993901766002296,7.552359608373365,10.653367915765074,6.730375736867671,7.581222086035808,12.148726179652897,5.411198199461097,8.165364595589239,6.947244260261385,9.725659593812395,5.553393135622088,18.53733239851195,8.390044938301457,5.828585078010889,9.043121001338704,15.877149961842605,9.175765735175446,8.861397799911202,7.815238808356298,13.472256040094464,5.441355415694545,15.992810422516015,7.17898303113401,7.838372751856355,7.150678705784429,15.410632388619376,12.223206910080535,16.702521159434582,9.33337336976885,6.733946555694928,6.3014194588665475,18.328035714288376,6.4890379186379334,9.159315504448415,9.253240530117296,8.68877201427523,17.973481012302273,4.795294855126116,13.814930097363657,8.805390592925221,8.099204970173332,13.606247723694082,20.608533879760415,10.125593326097516,9.693602851639696,16.993727954987634,9.320507602878621,3.800101442338729,15.298587442904676,7.956728032339129,8.166140805758943,16.81285880710911,17.262412902082076,14.436387538520648,24.335241866910394,23.96741757667533,11.812890596443992,18.452058041857327,22.33414300182966,9.78146970901372,22.272214609399327,6.670847789190162,16.431647700719736,10.322055556930025,19.218977255597935,16.286674374348507,7.279019466379964,16.01512414887702,9.202774871365307,6.163386867660506,7.374448093538234
ACTA2,9.689225309611345,0.0,9.938964885343012,9.941536049296388,10.296693508824319,12.213148522694723,6.9308940740017135,16.19199210507125,47.19939952669881,10.807393304233216,8.852105007503383,12.552312832725363,15.014839830431782,6.693460688459851,15.409531552919162,7.984977301921049,16.601075130816383,3.069164284854395,53.999984356011964,15.917426137954209,10.44476775093159,10.870161759657151,7.187034831023595,7.831708226034607,15.318234233949,15.705526987951998,5.99850180229592,13.528173547185048,10.281290232852768,11.758105329379845,73.91314552305835,5.287674378994751,15.055683988011594,5.700442340180047,9.428943463858843,8.698420026454727,6.908386972126436,10.117243900577733,7.8007050651647205,10.883684203018618,16.18508399546755,14.454644202980603,8.940994938933358,21.045895181971787,7.934264370312889,10.062249119065115,11.132318810910704,12.64693815734455,10.88005139322226,8.625397649837197,43.27473735939503,10.664560237987217,10.323762139132498,6.994535331434832,10.091111479414423,7.4583446324305385,10.247245179181505,4.267348809120222,9.478865345965971,12.485769940160878,14.74643924189445,11.592673578070247,7.2531982276461235,14.875154700925549,11.46461220847101,7.215679813492585,9.490434598912827,11.382832160857475,13.50455718340379,13.124542399563751,10.000939450625054,7.2115876889735375,7.354930993591154,9.138265640680657,8.91171745158573,11.385809698681555,12.865384422294397,7.470781751499146,14.197832996583003,5.393212879481865,9.57959322082857,12.636971262162007,13.398057484854633,12.98684067927499,9.680598864814442,7.2349311685918565,5.942640648768105,10.727293861547167,10.650635159984176,13.218284287955413,14.625253693011103,6.759453891813365,6.9913544729788555,10.990018355172396,7.6343247621850026,9.122603982256464,13.597599861599747,8.039239671687113,53.54065194251854,12.552882085177686,16.73346619152545,5.910461474031507,21.067368865888568,11.043727410757441,8.4727167925802,14.557031533351505,16.353416375162084,10.491758839751213,8.627608284258713,8.17792516477283,9.248462430793609,8.787714372045912,9.912093275008232,12.318259517343506,22.236197666214593,15.05377314864873,10.846060572313803,16.503793196602516,6.533759568544582,11.05240539416667,12.15181382653114,13.691964181911743,17.91513376294793,13.421630901689156,8.336251265471816,6.239512417357872,14.080993334158364,9.378372852046112,8.414025723128475,13.49572595511313,7.514885435911282,13.560724965067834,6.854516249072958,7.325800790005559,12.994515698914057,10.51965062557943,18.135647924676846,15.079532862979846,14.855168247685555,5.605772810574791,9.359217171797326,7.931712219033557,12.039813078356076,13.733778544012523,12.69152353128922,17.996111271349235,13.956065764129306,10.217675338311182,10.562100693740774,5.379876505137872,21.517602709412273,17.09842861642818,13.088251252278894,9.010878322193292,10.876580709245616,5.29343754681247,9.813476352128191,11.785077747499088,7.017235943323897,11.476416404296856,11.835232941407043,4.759767653977747,12.750994554065784,13.328274280126834,8.153704959399164,6.4347945806359235,9.570911258327186,10.180032161327006,6.941330493212689,9.186536599294698,10.250057848749748,8.00392940110143,8.327431247908095,10.796122521945193,11.25924105597585,14.687538030334366,6.771800168061958,6.521488234358372,9.481985329486065,7.407377623130543,16.7526686541174,15.276690974595965,14.97139816484966,13.015020050035673,8.734799438581234,6.038277438539865,8.354631567400617,16.052989590331435,7.531399997419669,9.218180971503614,17.277559575351972,8.076004200660009,3.3767357379069836,10.19489859426821,10.830315496721312,14.970005830374532,14.793817610191411,9.497738331077613,4.124562858184021,13.024699166584952,15.300512062573489,13.21925365668099,10.427552152616244,6.403350102461786,9.578630662818568,9.64175005528756,12.31481275376072,11.988869675967663,10.498423141624698,7.904719952182461,15.428982247463523,11.623114923168913,13.332308385459982,6.946829817495143,20.53857705243857,14.118931557867683,12.918154685631777,10.896070017927315,4.976630628865848,10.077544183068056,16.04867501260864,15.367651440846373,7.7411174669082925,11.657249789648006,16.342006221568198,6.531747807888735,15.72165363460752,11.60536569817998,13.056137517015088,16.9293719879675,13.22522371972886,13.6475633330449,14.323565020006129,15.818292277749237,16.028414523463624,7.5143679037044535,9.230893237878831,11.840067628483553,11.801759927351156,10.146463371194585
B2M,11.33295067060476,9.938964885343012,0.0,10.319145015276064,9.286549247352013,17.3045555972314,5.910333409224023,17.720383472589532,31.225291819239374,9.390330629602744,8.350284105879837,12.376842933541354,6.923748734496115,9.209816427338666,14.09267322392563,10.135503892068698,12.421265035508583,7.905925371175812,37.519538002504476,17.221302757378027,9.448118048175104,6.847694988263072,9.44026695434792,9.345272922678248,10.909200992231831,21.17590611883685,12.31873904652096,12.950376314523481,11.428666136643358,13.708520090549229,50.37521404668439,7.875340376929415,15.99390081975207,8.426742108239324,6.295281765463983,8.825679384734912,9.205808947651292,12.54401629060132,13.269770575060534,7.037086092452,12.887361472568955,20.623158593825906,7.144337522229392,12.142938170925277,9.871150754625575,6.223928600018354,7.127701282368832,9.440900412148096,10.11353610591172,13.510483781133331,30.486845338393493,12.115181888712442,10.247331801558573,9.183660250129009,5.479603496500971,8.568021566144893,16.032707236669864,7.107980912041683,12.166162084506027,17.323425836886713,10.141357311226898,8.875710208036281,8.655926536023685,13.893775021463767,8.87201212841876,11.505996178503466,8.853793452945126,14.992662574512082,14.33397151040873,13.749953663249556,10.434706337986,11.896982994645128,9.842132163676865,19.495753135138642,5.995037905461629,9.83320690975745,8.118370482522636,10.113174069151398,5.195357486942527,6.775223653620884,11.443481015610104,19.8091998062703,15.399709965331226,10.134692842126043,7.084117623153304,10.830863638169092,7.296391856874465,4.508112000560999,7.427451905637156,13.871490205643084,14.173128711413455,8.66980421253649,8.657864173472149,5.923401352640639,6.891722320085336,6.73117664334427,14.145018901016385,7.506306303504033,38.026108178553784,5.336305037187373,16.526090176993023,12.861514725009698,29.75302145487484,10.620093419152425,13.203382801436788,7.537021173505195,12.7806870233305,9.770041137648064,6.640603932835177,13.322705482547178,9.355298843546507,7.781821379056851,10.959452821539372,14.472746539588229,20.526829008358618,13.59340184279094,7.857122713008977,16.54435493266064,6.993412864161684,17.253350539710254,9.851310419606335,15.419578852455203,20.927146638280675,7.195489048335929,3.895090684030407,10.472183213788327,12.312858994081495,6.6069072128701976,15.33738518064763,8.7446326027503,11.335291504648495,15.506729920974976,8.542006468616876,9.886889371968863,7.776589425043909,8.925933084583136,32.52440938780853,6.842107715657249,7.469991531748434,9.10284256324067,10.61052016667091,14.197455972390287,22.49921792538862,12.996881723379204,9.910048407106302,25.939691370204258,21.635097998717157,10.916511015111581,15.994150530506374,9.849137520065199,19.879599970439216,18.050648796637233,19.886394933873532,8.926793271936532,16.062010324061987,10.787141217478961,10.697184218627967,14.530242563128695,16.895021393896968,8.702438254942194,14.518646563327906,6.525644822784841,9.37439142724034,11.680491247194595,4.443142402833558,11.292304961772118,10.080919273188243,14.861986438218196,10.89422325333274,15.28990364582512,13.15720349384975,6.554956957042265,6.171174528071646,13.233637547995642,9.741787950793764,19.531024741798575,6.427952906922968,8.765724943575975,12.518375414953823,12.2264566252895,16.41355215211442,8.841528150395789,11.075351938346301,10.406378261183306,6.843728578977419,10.446603551091073,11.075898386761509,15.939791480604981,12.452865590614579,13.34222190558512,15.288908479900499,9.931967398296933,10.293626084542893,11.903133201795384,19.396784312682655,20.066170026801046,19.889026088900323,14.347477221418927,7.500713602873844,18.57142437214847,12.114196392889312,14.468894667249032,11.609152632182798,11.945037006749033,18.305655679302845,10.832960155268324,10.878304889736654,10.096979693663428,8.24345331067019,7.307985920100975,12.296551917632257,17.128361598013356,8.365243385546108,8.357214503272871,35.42051324579103,6.209174106044799,12.635354581719554,17.29994847406644,6.0676174945460275,19.637459805107056,22.085200466567272,22.99759765700321,14.179582352846069,11.57190954205629,21.889245546269166,17.220250559776275,5.144771913253379,18.981689166155377,11.029030511965914,16.57431120348781,7.948362119074233,12.379184776174952,15.209257521700806,26.138047388533693,11.990804909102934,12.005747191381317,11.059115989107966,11.829140188897725,10.969943540442102,11.449353691848643
A2M,5.045118790506507,9.941536049296388,10.319145015276064,0.0,6.846891714771431,7.574069100226069,6.318489790086062,12.208200404126103,42.376820915423,5.41713998026313,14.853977646073389,7.252846815701531,9.69594442665317,6.9764139511383405,5.263607129479453,10.543310295955365,7.01105931876117,7.901212657564827,44.61475293745562,7.901529181788078,6.213526303607097,10.829066079086175,8.854801843883564,9.133119960465905,5.233171082761231,14.532037011514575,8.23699944750416,4.461880021738466,10.604786549555314,9.918484074867877,55.73034217189817,10.552856973805262,12.416040055836874,8.181445750751777,8.649031118335557,6.310576873908758,5.2750067510664,14.90367955143779,6.076886770491939,7.194015835476108,8.715406354504495,9.845770907937691,4.72433165925861,7.566451030851482,14.084443031286128,5.707620454516871,9.232056192817907,12.800075088594866,7.176033703227404,8.707914639985916,39.27386018531766,6.929605769700061,5.672794067194076,9.223007424832474,9.102200437197439,8.2747806122577,8.772499092084018,7.21805383958818,6.698269657811153,12.24475123510885,7.3822316185876105,4.811763409487469,5.877700895801041,7.124122692064191,7.436575731447334,8.6292603129329,10.755172203501758,6.989512960762681,6.023406689418181,6.782964479741111,10.854193159652766,14.48757395205206,4.452234616214213,14.778208152551883,8.000433416799154,6.347924051486444,12.94178963386264,7.141182778446051,13.846214283108054,9.308677637436404,5.0754581676620205,9.028778482994994,6.648666366609433,11.866476642808152,12.466661764083682,4.285321105879547,5.5743983455422494,8.553000827719416,7.633781697251294,8.118425898347198,6.1299138660209,6.3982088221320055,12.226910733840526,5.248045102142726,4.775804761311235,9.82479925778918,11.546103634789546,7.042908304386174,50.27472254912655,9.262223326294418,7.333475502241214,11.396102390543945,15.93787719987219,9.43537068054843,9.057803868828216,10.128278583623882,7.554509865661714,5.706395759173176,7.82991519195329,6.621286534174516,9.489618971503404,9.02544616681908,9.465918499264092,11.925254285249679,10.566821768188305,11.068968760407984,7.004954737684329,15.778033595449472,6.4400295458307255,6.276380992846981,9.564538231113033,6.0715936068310725,10.66374585919732,11.106209814525187,9.683487613907744,6.684709898886524,14.160200563688534,9.775690559136706,8.403791346911163,6.608137782866521,12.880215261975593,25.753776985548797,8.399778188132501,4.706944836344064,7.7707288642406525,7.000198710372786,17.597901326211826,12.429511786803062,7.053516905026413,10.843995226210268,7.931156808587048,6.662373218668648,10.447197070752082,10.171195612329967,8.273497963615512,13.972587676390333,14.342954098329528,8.285565513611346,9.190542311730127,7.426983205354389,16.38718733643981,10.275842423033822,10.892822089768828,11.343973230290715,13.9290395524566,8.602105879221682,8.645373138820702,10.51276133891676,8.870168291766305,9.719558992885112,12.75954376412534,9.22966467185907,9.965924864266299,11.157333425699704,10.335007488219219,6.092158676036803,10.842127323427633,8.425899442823408,7.9761679783447335,8.443071403385574,7.998693691969066,11.827941513565179,7.950019210054279,6.745145838709732,9.457731822661373,7.23865330865317,10.189810948628008,7.907945141350581,12.818026527215267,6.155645333109135,16.537613168023256,7.616345635680744,4.8379696915433215,6.264050175783012,13.14694408396025,10.339108228795993,11.131222116205379,10.754685462829258,16.292449838169347,9.352659035039864,18.515339130207593,7.590944045466955,10.959886692442552,8.571350320343072,18.880850754508828,11.257774268543045,18.857750608706027,8.791346869764538,7.228229659267811,6.70190127481203,19.1593372231699,12.18048943444984,8.074068876680826,7.53908545604358,10.786274319911541,20.782968313860493,5.453796724646168,11.366257467275318,9.417543843913364,10.308020076986878,10.046110921472945,15.703675588132228,15.052213545331142,8.135522419887053,21.566858713841953,8.209266415458046,6.925144652932886,14.823202733604035,9.02740059789383,12.033201756084395,17.7482784286953,24.186161534598938,16.50607428753588,22.5356366635842,26.09281307308271,15.214396223015825,15.133180474642472,27.657839357217455,15.624167054167657,23.499532448661483,10.324472010554246,18.93545499559994,12.303838933513276,19.243672098168588,20.22947765051714,11.802185810203838,17.470713575847043,10.294801046121648,8.115143644610924,10.333546884890609
AEBP1,5.996826851079675,10.296693508824319,9.286549247352013,6.846891714771431,0.0,8.559909579774455,6.601689220669044,6.356135809077301,45.078154889401276,5.634897754512139,10.052691571907872,6.0206508846056295,12.342383712194106,8.155558549811957,8.43977851235698,6.028201652661323,4.90810922663681,8.055699903765088,51.570466814289034,5.826536734816017,5.933260964463159,7.014753069329629,11.266296538857546,6.358697938251964,9.246688777643044,13.391567867497656,8.794735654299899,7.4614074461099165,5.98977499984818,6.991551101820022,61.102726527972436,7.702940747811709,8.474386919754636,10.103721379994312,7.1356943693736525,5.4846357173398985,5.597562292238479,12.553043015492932,5.5606233050014,8.230960778493,7.460370113300314,9.306716007558407,6.464682541491385,9.9704910588016,13.200443178684367,8.123377282406153,6.97740267107406,11.90967259646635,6.108840594643738,8.251126550102953,39.09318690374732,5.67434903781006,6.535313838234117,6.5565523571764,8.50650829990903,7.1796671291658924,7.011309465926274,7.09064729457981,7.711686793511433,6.950370390265732,6.976991893140394,7.189262124845271,6.103998375897447,5.971328715320652,6.823799026214999,6.4897506011327835,9.223819918970946,5.193226627925782,5.867403390897721,5.809094857365352,6.147467242257989,11.484884149056796,5.018364849392583,13.424508001255134,7.374290266268986,4.587764223381896,11.1003482895957,9.755325524337422,11.179784184764145,6.661890405122705,7.023788717882468,9.906197364890005,8.280827845837791,14.21002944083412,13.306540017704322,4.677017085508908,4.028361241642386,6.976262535263146,6.480051428928277,5.978447990614285,7.932652743042269,7.740260200481117,12.101473981778668,5.3916020940006035,6.573149595387548,11.816589930512691,8.8216571284471,11.583443847287327,50.139929884424305,8.344939573045252,8.006919003146777,12.329675070429602,15.143574774166552,6.017102451233455,6.596724954173709,7.18199539042979,8.207066126456795,6.858438785954462,4.161420434104912,5.1740467805527715,10.546669967375408,9.670764496543768,8.638177036548285,9.927046022451293,10.115652903631087,11.741502318672275,8.279793348405718,12.352321734947878,6.53509406269464,7.251586134025388,9.538439493480126,7.710368520225558,12.941564890504168,10.387488385053445,10.185105887387891,7.943362571334916,13.943448455561196,9.949967603622525,11.874112898646047,7.971506406575145,10.332368511201281,21.379459331770136,7.264327249762971,6.371023162364253,8.5375402362599,4.870063524188282,17.347758101694694,10.986624162897982,11.097371790529138,8.573677247445204,7.106235118350156,6.88611526386984,14.070238439231844,6.893093704885985,10.426954343700203,11.477002159914576,13.7447432109864,6.279449640505419,7.285146883537038,6.15558279283016,16.762880879727874,8.40308998783513,6.871366357207137,7.337743415769097,10.27686151468788,5.4001811084579,6.593094960257304,8.913291607667531,11.86152287267447,7.6717904187525505,9.772586668300363,8.58932504975786,11.180528227133635,9.109496841155647,10.590905161267216,9.606135786911125,8.774059784386708,6.239560853090268,7.106051248828891,9.301089244693742,6.548388562783657,13.010395236056553,6.818730388653734,7.286690132888253,8.939320956609038,11.605712745653278,10.822265303266732,8.327905672794401,8.44000157594138,7.9171700465713855,17.203654908810023,7.356806847853591,5.064964377330199,8.477822002626851,9.49783538805022,9.006548835056151,10.523165280273844,9.310420126817121,10.78885225060975,5.864491099096085,19.287770659930743,8.86059911385695,8.566648211602399,11.292204321853632,18.424576157716956,11.980308893589893,21.40135385827574,7.998324862677492,6.724615687936222,9.095914422350205,19.1273566489038,11.974352770258491,9.42720650923988,8.476386686353237,8.076968464968502,14.991481181902316,4.220431582930331,8.491978519929745,7.696776085385977,10.425573970489381,8.03317520085136,14.186319289927013,14.876744760307105,8.650185886871554,22.715579553705055,6.607903967401029,7.229976414225888,12.889635000224956,8.63532089094997,12.925546655306874,18.09677316730827,22.56278634871495,14.992507908615437,20.730519232862548,29.684425854420198,11.028309041521936,13.840021460926806,24.838743256530734,13.062641089077033,19.096424850418998,7.329973818328398,15.403022981553136,11.070687230550334,14.378728188981228,17.94198860640799,6.124688106676558,16.22455135541486,7.150198891491186,5.0038941991765,8.129398088359522
CD59,5.306522550556394,12.213148522694723,17.3045555972314,7.574069100226069,8.559909579774455,0.0,11.220634827463726,12.609399749122275,41.72754507036882,7.168896282132806,17.98319618111151,12.58872901918977,16.27023434512401,9.984963102987564,5.03550495899114,11.131793225018043,12.311877717430576,11.24744993770102,49.45232481382783,11.878982504408185,11.730225304014425,16.705198187780866,8.421516140074175,9.872358546624696,7.564690418967359,10.890837220597916,7.302409422385978,7.706903232447104,15.753163863301381,11.847251039021188,59.37651215046526,13.087934942253781,13.373154152856841,11.12327315104497,13.430527554928688,9.870823751434074,6.007937785551405,12.469288431475974,6.232431727149731,10.798143632744257,11.406771731279605,6.835948774073017,11.345392051749485,17.8797393491447,13.013309793834111,12.025071788206589,11.04756685058959,14.457261770192758,10.92554227615446,6.928623677935633,37.05656248363414,7.558667160151373,11.683388507103132,12.32156438156548,20.679131284300496,7.8744374804832376,6.668528164826228,9.208806637129669,11.186929782563823,12.163465890051896,10.37183980403006,11.432971775122866,5.789552026192723,8.637025483626786,9.416687715711817,8.298548843203577,14.674386241584386,11.50562747364873,6.5332459723565535,11.272492958970844,8.441747562267352,14.628427944618949,6.479990650213722,10.534100919777785,9.534924628619024,8.5922601483569,22.5838495452592,11.236012833864777,18.176534362964247,14.177522108065574,8.932478351232334,11.917238827395835,6.083442097412387,13.607406008224672,16.3821483917431,5.719990294150648,7.792245940945321,14.870297480313099,10.92776476534874,5.241664494481228,7.1142883304647455,8.665616957034018,16.703921473454614,12.235938454972114,9.217874966045684,12.7282518886758,9.874830083643928,13.504851644073455,47.46664222623218,13.559771449921953,6.935629699038373,10.963271592107532,6.597324568795898,13.553717952818062,7.34145042360845,15.6406700305551,7.050221797133162,8.918537142017584,9.20261354112921,7.586687473758104,16.470560248892696,18.787541144462978,6.496600287029963,10.479663374624351,9.41771681045094,8.832358628049377,13.301112310977345,16.030703341501095,7.812645939257749,4.589658309400875,13.971699827360993,4.996860741714187,5.506011552490321,13.151611242466373,15.206268542584866,6.728773270190885,11.361837157180133,13.86351103002275,8.209639927341811,11.007966211895678,14.357984003012035,29.429311861079952,9.652435160954951,6.401133678138052,13.155138193806948,9.935001035691442,11.179442387076278,19.246601521755252,12.552105638060226,10.189196701705924,8.41913958503008,3.843258475668847,8.435241235140836,10.505910802002177,8.094492710219782,8.494461414206427,11.28804605803461,8.484428199532232,7.658656334531543,4.445887051375337,11.9277014304121,6.160393876269325,9.402665424438112,9.633354766681833,13.624716924584959,9.677714718176162,5.997082789946887,9.413118725051675,8.041113057416055,9.265061884053011,6.981563634046182,12.672446856155375,17.646385025443323,9.50282517283199,14.590667913579665,8.568960711412046,9.203935014678422,5.638551052704372,8.021452298320668,7.363319085312867,7.076347903571445,15.1159546030772,8.177168490773028,8.748202223724348,13.767458904242233,3.4367652338600863,11.864932291686983,8.380964324786333,10.447987425467772,5.058305261840388,18.162600256882598,13.176596260780968,8.024005703809024,10.788049472847035,19.397855100116004,10.271587584820736,8.737309799933172,5.606168090267317,18.89442380947628,6.465635119753529,17.374184546983884,8.589947628310483,9.372632020214951,11.40671121457072,17.7552394077768,8.651671294036134,18.58982661614806,10.353873714331172,9.879139436365648,8.42290434251376,21.319134134423734,7.373520624160307,8.094849246181383,10.96406115196362,8.624743177912933,20.55328381251951,8.559994437612346,17.209958640909036,13.464385495402837,13.043471526093924,17.93021913969619,23.502656237265086,17.567958634480107,13.358127033079086,15.009811597357583,14.322226096617356,5.041010207692096,13.906379147365072,11.95626247476713,9.597897401859626,18.010047399187982,18.847118679808545,18.17560167215231,28.168447615103787,31.096199207638648,11.549247418177458,26.925445513300446,25.92741560289255,14.876937233591377,23.636514720535843,10.781424398122596,17.470162503647543,11.48287784747157,17.889460229570062,25.26612422181111,7.969614310147051,20.784372685219466,9.85126093545017,7.406022753518073,10.199326293114922
