perturbation,Dex,Nutlin,SAHA,BMS,control
Dex,0.0,28.73620000686958,73.61427367636136,25.4279634525667,60.970690749380225
Nutlin,28.73620000686958,0.0,51.973607649062245,8.18389246298159,63.807087477326775
SAHA,73.61427367636136,51.973607649062245,0.0,43.81872456071875,90.88771302530631
BMS,25.4279634525667,8.18389246298159,43.81872456071875,0.0,56.33102092461911
control,60.970690749380225,63.807087477326775,90.88771302530631,56.33102092461911,0.0
