,Tcrlibrary_ZAP70_2,Tcrlibrary_JUNB_3,Tcrlibrary_EGR4_2,Tcrlibrary_JUN_3,Tcrlibrary_EGR1_2,Tcrlibrary_NFKB1_3,Tcrlibrary_NFATC3_1,Tcrlibrary_NFKB1_2,Tcrlibrary_NFATC1_3,Tcrlibrary_BACH2_2,Tcrlibrary_PTPN11_2,Tcrlibrary_PTPN6_1,Tcrlibrary_NFKB2_1,Tcrlibrary_NR4A1_1,Tcrlibrary_NR4A1_2,Tcrlibrary_JUND_2,Tcrlibrary_DOK2_1,Tcrlibrary_JUND_3,Tcrlibrary_REL_2,Tcrlibrary_NFKB1_1,Tcrlibrary_BACH2_3,Tcrlibrary_FOS_1,Tcrlibrary_RELB_1,Tcrlibrary_FOS_3,Tcrlibrary_EGR2_2,Tcrlibrary_LAT_1,Tcrlibrary_JUNB_1,Tcrlibrary_NFATC1_1,Tcrlibrary_EGR1_3,Tcrlibrary_JUND_1,control,Tcrlibrary_JUN_2,Tcrlibrary_JUNB_2,Tcrlibrary_RUNX2_1,Tcrlibrary_EGR3_1,Tcrlibrary_BACH2_1,Tcrlibrary_NR4A1_3,Tcrlibrary_RUNX2_3,Tcrlibrary_NFATC1_2,Tcrlibrary_DOK2_3,Tcrlibrary_FOS_2,Tcrlibrary_RUNX2_2,Tcrlibrary_PTPN6_2,Tcrlibrary_RELA_3,Tcrlibrary_EGR1_1
Tcrlibrary_ZAP70_2,0.0,0.05028756377550714,0.43740985331632487,0.41653418367346795,0.5049584821428539,0.5912110969387712,0.598853507653061,0.5737710459183685,0.5691855229591827,0.4724112882653042,0.5512558673469385,0.3496470025510199,0.3266153380102015,0.31687311862244805,0.34963380102040453,0.4733160076530609,0.44984422831632465,0.4683503826530586,0.5352776785714273,0.7278899872448967,0.6502885841836719,0.5159820790816312,0.6668119897959173,0.10472044005101644,0.2340285714285688,0.14829269770407905,0.4156377232142816,0.36645672831632403,0.44740634566326243,0.3247333227040805,0.24643396045918387,0.3649435267857104,0.16737570153060943,0.3186491709183663,0.2836155612244884,0.28589885204081433,0.2268735331632623,0.2065848533163237,0.201306345663264,0.20784202806122565,0.23674496173469173,0.19503596938775303,0.5405544961734687,0.8039478316326516,0.801633992346936
Tcrlibrary_JUNB_3,0.05028756377550714,0.0,0.014406186224489304,0.06803989158163404,0.21961419005102023,0.3024324298469363,0.27764671556122344,0.20921425382653425,0.28296310586734563,0.25494824617346623,0.3409615752551023,0.07533396045918472,0.1321804209183668,0.0970178890306137,0.10950825892857097,0.21581859056122532,0.2463389987244895,0.1534732780612238,0.31957401147959175,0.38255194515305924,0.3453317920918373,0.32788153698979805,0.3900301977040801,0.018719897959183385,0.06554365433673226,0.03758121811224591,0.1787340561224493,0.22259524872448821,0.135216741071428,0.06521871811224678,-0.04012751913265333,0.09656954719387656,-0.09464046556122518,-0.022082621173469263,-0.07338498086734901,0.01977643494898018,0.01827455357142682,-0.041076626275511785,0.0021620535714284017,-0.00767413903061076,-0.04473683035714515,-0.06021769770408447,0.4318414540816313,0.6263597895408157,0.5801772002551022
Tcrlibrary_EGR4_2,0.43740985331632487,0.014406186224489304,0.0,0.0034153061224504455,0.18621929209183463,0.36879690688775213,0.3602080676020414,0.3457693558673487,0.49813070790816205,0.5049752232142826,0.5458948022959191,0.2897828125000004,0.371621460459183,0.354451116071429,0.20516648596938758,0.3707924426020419,0.2996175382653039,0.21805963010203833,0.36908848852040954,0.5740570471938753,0.5087431441326533,0.6014147640306113,0.43455404974489653,0.3543765624999988,0.3779425063775488,0.3266894451530611,0.47856259566326287,0.3471456632653034,0.30119528061224266,0.21165975765305944,0.10012758290816315,0.2566324617346911,0.07489276147959245,0.005080293367345945,-0.02359550382653275,0.1648065369897953,0.19018434311224475,0.20768472576530606,0.13343278061224417,0.0889997130102067,0.07843389668367173,0.0678811543367317,0.7147434311224483,0.9333992665816311,0.5250885522959194
Tcrlibrary_JUN_3,0.41653418367346795,0.06803989158163404,0.0034153061224504455,0.0,0.33786549744897876,0.14227748724489508,0.2601917729591836,0.30627806122449286,0.4347675382653051,0.39776830357142856,0.47940038265306306,0.16811026785714311,0.2818739158163268,0.28682544642857266,0.1432564413265318,0.26941989795918353,0.202226243622448,0.21338396045918273,0.34670656887755413,0.44068450255102043,0.3621799744897949,0.4654578443877586,0.3555627551020404,0.35141651785714245,0.27919183673469306,0.33163877551020526,0.2612619260204081,0.33420436862244784,0.26306961096938863,0.2672247130102061,0.1344737882653071,0.1418911670918348,0.11460771683673521,0.056681186224489366,-0.07130554846938608,0.1341777423469388,0.04920554846938785,0.02106530612244839,0.0033446109693890946,-0.029354081632652296,0.21670510204081594,0.09884142219387648,0.6614677614795923,0.7283735969387752,0.5372410076530638
Tcrlibrary_EGR1_2,0.5049584821428539,0.21961419005102023,0.18621929209183463,0.33786549744897876,0.0,0.15022678571428472,0.011928571428573065,0.046880484693881286,0.1695293367346924,0.0957613520408156,0.009024681122451028,0.03887206632652962,0.08409196428571342,0.11894661989795985,-0.0784692602040824,0.04355982142857329,0.12682554209183472,0.07033325892856901,0.19846836734693873,0.2329275510204063,0.13812302295918322,0.1432258928571457,0.06132455357142774,0.2844533163265286,0.28539738520407987,0.22882869897959068,0.2182799744897963,0.025413042091836147,0.1728751594387763,0.09322244897959209,-0.06433941326530679,0.1851373405612211,0.01199139030612173,0.1151617346938778,0.0964437500000006,-0.0037104591836740752,0.18719859693877616,0.18068647959183615,0.07802828443877452,0.12781709183673584,-0.0263268494897968,0.12353134566326318,0.34555143494897855,0.38685414540816154,0.011143431122448533
Tcrlibrary_NFKB1_3,0.5912110969387712,0.3024324298469363,0.36879690688775213,0.14227748724489508,0.15022678571428472,0.0,-0.047921938775512984,0.08358934948979702,0.12315382653060958,0.08030146683673145,0.05541479591836662,-0.03859406887755412,0.055235204081631295,0.09315548469387558,-5.1020408166735365e-05,0.02316243622448866,-0.0033249681122473618,-0.03520787627551236,0.2635991071428574,0.09243641581632289,0.12810688775510037,0.12919725765306111,0.08800529336734542,0.35603093112244544,0.23651249999999813,0.23113131377550644,0.0891419642857123,0.14954690688775152,0.10681214923469007,0.14843756377550932,0.066663201530611,0.11347433035713728,0.24193463010204042,0.14641434948979182,0.02702136479591566,0.05315153061224187,0.07549496173469272,0.0797734693877512,-0.0037659757653099035,-0.011695918367347957,0.16510389030611883,0.035449585459179644,0.41496342474489545,0.2547786352040795,0.06857417091836737
Tcrlibrary_NFATC3_1,0.598853507653061,0.27764671556122344,0.3602080676020414,0.2601917729591836,0.011928571428573065,-0.047921938775512984,0.0,0.02081613520408432,0.11251186224489906,0.03404700255102178,0.005269706632653026,-0.05235165816326415,0.1175494897959215,0.09070727040816529,-0.12848048469387585,0.00047672193877801305,-0.044013807397957905,-0.056112340561222496,0.12089151785714414,0.10154757653061353,0.04793992346938758,0.07353029336734807,0.01876957908163135,0.3481420918367366,0.2644205357142848,0.20124872448979758,0.23523124999999823,0.13636744260204203,0.2033889349489808,0.2618049744897988,-0.014238137755102187,0.240922991071427,0.2175551658163286,0.21959738520408223,0.10042002551020524,0.042190816326529657,0.1608373724489791,0.07620025510204265,0.06698893494897895,0.02364024234694284,0.14065880102040929,0.16092949617346974,0.34646208545918533,0.18920229591836701,-0.015011543367347002
Tcrlibrary_NFKB1_2,0.5737710459183685,0.20921425382653425,0.3457693558673487,0.30627806122449286,0.046880484693881286,0.08358934948979702,0.02081613520408432,0.0,-0.04272684948979233,-0.11376983418367104,-0.1162315051020375,-0.10034036989795503,-0.08646422193877257,-0.05265644132652625,0.023505803571431727,-0.08945261479591515,0.00814748086735051,-0.04044480229591585,0.013312181122454803,-0.051953635204080584,-0.17287066326530365,-0.013374043367344157,-0.054500382653058566,0.08829088010204345,-0.02335567602040456,0.040047512755103654,0.16339566326530708,0.1544381058673494,0.09085022321428937,0.141085012755104,-0.07023309948979417,-0.0011500956632630732,0.13001332908163654,0.06238367346938922,0.07206256377551412,0.022864604591838145,0.0032924107142875414,0.0883802933673472,0.02435334821428725,0.017823405612249488,-0.01955178571428462,0.04683765943877738,0.0804671237244925,0.07536358418367506,0.19918411989796247
Tcrlibrary_NFATC1_3,0.5691855229591827,0.28296310586734563,0.49813070790816205,0.4347675382653051,0.1695293367346924,0.12315382653060958,0.11251186224489906,-0.04272684948979233,0.0,-0.06949910714285679,-0.06779515306122441,-0.07515714285714203,-0.04337474489796023,0.06389241071428842,0.04805465561224409,0.006039987244898626,0.04263695790816158,0.09035404974489936,-0.04916084183673419,-0.06543603316326774,0.013265688775508266,-0.04504706632653033,-0.009598405612246452,0.06800223214285595,0.0055916135204086,0.013990114795918274,0.14801951530612278,0.19860570790816112,0.1245959502551024,0.23503073979591882,0.03848450255102165,0.07908938137754973,0.1829028061224509,0.1455012755102043,0.19753954081632585,0.17796658163265278,0.07032251275510149,0.06769477040816341,0.07556157525510088,0.04965038265306454,0.12023769132652973,0.07358963647959094,0.10322066326530788,0.035206186224490565,0.19829547193877595
Tcrlibrary_BACH2_2,0.4724112882653042,0.25494824617346623,0.5049752232142826,0.39776830357142856,0.0957613520408156,0.08030146683673145,0.03404700255102178,-0.11376983418367104,-0.06949910714285679,0.0,-0.12406313775510291,-0.07215950255102221,-0.13612085459183731,-0.05034119897959144,-0.022275829081635834,-0.05185924744897896,0.006525223214282505,0.043386065051020495,0.025780548469388265,0.04599598214285372,-0.07873667091836722,-0.04894630102040942,-0.09884764030612381,0.06506549744897683,-0.0076716836734718186,0.02390025510204019,0.0995015306122422,0.09706272321428244,0.12207327806122237,0.1774158801020409,-0.015408482142856172,0.013805771683671253,0.13023482142857112,0.13306454081632602,0.14093718112244602,0.0196673469387747,0.13136077806122515,0.06129866071428225,0.022277965561222857,0.09782614795918398,0.09007595663264922,0.06983727678571405,0.07224486607142921,-0.0574961734693904,0.16169623724489846
