,STAT1g2,IFNGR1g2,IFNGR2g2,IFNGR1g4,JAK2g2,IFNGR2g3,STAT1g1,JAK2g3,IFNGR2g4,STAT1g3,JAK2g1,IFNGR1g3,IFNGR2g1,IFNGR1g1,JAK2g4,SMAD4g4,IRF7g2,IRF1g1,IRF1g2,STAT2g1,STAT2g3,POU2F2g2,IRF7g4,STAT2g2,STAT2g4,PDCD1LG2g3,PDCD1LG2g2,IRF7g3,CAV1g3,CD86g3,CD86g4,TNFRSF14g1,ETV7g2,MARCH8g4,PDCD1LG2g1,NFKBIAg1,UBE2L6g4,CUL3g2,POU2F2g3,STAT5Ag1,CMTM6g3,BRD4g4,STAT3g4,ATF2g2,NFKBIAg2,CUL3g1,BRD4g3,CD86g1,ATF2g1,CAV1g2,STAT3g1,CAV1g4,CMTM6g2,UBE2L6g2,NFKBIAg3,STAT3g2,POU2F2g1,ATF2g4,IRF7g1,ETV7g4,CMTM6g1,CAV1g1,STAT5Ag4,control,STAT5Ag2,TNFRSF14g3,UBE2L6g1,MARCH8g1,MARCH8g2,CD86g2,TNFRSF14g2,STAT5Ag3,ETV7g3,STAT3g3,PDCD1LG2g4,ATF2g3,ETV7g1,MARCH8g3,SMAD4g2,SMAD4g1,SMAD4g3,BRD4g1,IRF1g4,IRF1g3
STAT1g2,0.0,3.009364221938778,2.0231117984693903,2.2058329719387757,1.3264444515306124,2.1304058673469406,0.3119272959183732,1.111913775510203,1.1118561224489802,0.657546428571429,0.8040056760204095,1.4697498724489826,1.1312018494897984,1.7118779974489797,1.5677230867346914,6.035176785714281,7.892958035714287,5.7397514030612236,5.450505803571428,5.353313201530614,5.490441390306124,5.8622666454081624,5.415832716836736,4.916382206632651,4.464666772959184,6.867941071428568,7.085323979591834,5.017126147959182,5.6454540816326535,5.1250944515306145,5.316554719387753,5.304718877551018,5.306091645408166,5.421026084183673,5.40694005102041,7.045955994897959,6.608221109693876,6.905266772959184,6.663715624999998,6.68954158163265,6.894760395408163,6.809391326530616,5.6637087372448995,6.3276469387755085,6.163107908163262,6.678328698979595,6.514864477040813,6.589885522959182,6.517037755102038,6.503856951530615,6.487031760204086,6.380991964285716,6.731081249999999,6.42646683673469,6.650139477040817,6.707776658163269,6.198687053571433,6.575295982142855,6.2572028061224465,6.015540880102037,5.433643176020407,5.942329974489798,5.976773341836736,6.256405357142857,6.131876339285714,5.610975063775509,5.894427487244897,6.022314540816328,5.769236352040814,6.04428469387755,5.856320918367349,5.899228316326528,6.178052040816329,6.075792283163267,6.046583290816326,5.854562691326532,5.947971173469387,6.095024872448981,6.170929272959185,7.166512372448977,6.863345918367351,8.078273341836738,6.71542429846939,4.921082844387751
IFNGR1g2,3.009364221938778,0.0,0.21928061224490136,0.16907991071429151,0.4465695153061269,0.32047468112244815,1.926886734693884,0.9854263392857199,0.7967905612244905,0.8620339923469409,0.8024682397959175,1.109296811224489,1.107280038265305,1.0496155612244884,1.0361544005102061,1.5704049744897972,1.946095599489798,1.1673327168367322,0.8482683673469396,1.698957015306128,1.7010352040816379,1.5782135841836755,1.206676530612249,1.4271572704081663,1.454557461734698,1.9168598852040795,1.7980396683673483,0.9549668367346946,1.0148197704081667,0.8237913903061234,0.9381204081632681,0.8843220663265292,1.0903854591836755,0.809138647959184,1.0692244897959213,1.5897060586734746,1.1689180484693864,1.6375887117346934,1.478675063775512,1.564629145408162,1.4773510841836774,1.697685140306124,1.403827551020413,1.42095012755102,1.5375204719387803,1.4285318877551063,1.4797207908163301,1.621998086734699,1.5625346938775557,1.5758038903061227,1.6642630739795976,1.3238545280612257,1.497765688775516,1.3185637755102029,1.3808395408163285,1.4008735969387764,1.3302246173469392,1.4865210459183693,1.0504591198979583,1.1556878188775492,1.06056823979592,1.2535269132653113,1.348704655612245,1.3570210459183656,1.284410778061222,1.40556575255102,1.2788713010204056,1.2588489795918392,1.3148770408163308,1.313100382653058,0.9888272321428602,1.1175096301020453,1.2503708545918428,1.2250204719387803,1.1532302295918413,0.926794005102046,0.9914993622449018,0.9199593112244919,2.8798355867346963,2.5545655612244893,3.0800428571428604,2.3330171556122465,1.9669649872449,1.3554047831632658
IFNGR2g2,2.0231117984693903,0.21928061224490136,0.0,0.03635561224490047,0.15972646683673375,0.04293163265306532,1.0703218112244919,0.3206114158163267,0.6192256377551004,0.4249659438775488,0.2657751913265294,0.6545881377551055,0.2933588647959162,0.45631626275510584,0.3177613520408187,2.224552551020409,2.5284025510204096,1.5619990433673436,1.5436596938775509,1.628101466836739,1.8822671556122508,1.4616611607142893,1.3844741071428572,1.3781392219387811,1.285370663265308,1.9331887117346973,1.9697466198979576,1.2007800382653038,1.3794673469387817,0.9549045918367334,1.0441461096938802,1.085619642857143,1.1779299107142869,1.108151849489797,1.183787691326529,2.1841755102040814,1.898465625,2.024086288265309,1.8703413903061232,1.8743329719387773,1.843067410714287,2.03557959183674,1.386875127551022,1.9429289540816335,1.698421173469388,1.730126339285718,1.7185402423469398,1.6528862882653073,1.6679822704081637,1.6069733418367385,1.6735575255102049,1.7101177295918362,1.8605601403061272,1.7131113520408157,1.6762121173469389,1.7677149234693879,1.630197193877553,1.6735936224489798,1.52194732142857,1.4362291454081664,1.3356376913265322,1.3656932397959238,1.298505357142858,1.5150623724489805,1.5445646045918338,1.3793945790816338,1.4949657525510212,1.393121556122452,1.55828399234694,1.7275229591836698,1.3847529336734752,1.515166581632652,1.6405153061224524,1.5181242984693917,1.464990306122452,1.219935331632655,1.5022969387755083,1.3987318877551012,3.6706394132653024,3.4699318877551057,3.839765433673474,3.1374616071428605,2.727000063775513,1.6955148596938798
IFNGR1g4,2.2058329719387757,0.16907991071429151,0.03635561224490047,0.0,-0.0024523596938763603,-0.0038596938775476985,1.2921211096938805,0.26362946428572087,0.4614686862244888,0.7848308673469404,0.18843073979591907,0.5897374362244925,0.4659706632653098,0.5189749362244882,0.475654400510205,1.8217830994897959,2.3993174744897985,1.453826466836734,1.4561683673469368,2.1222757653061244,2.1086758290816334,1.602022959183678,1.6409859056122436,1.593904145408164,1.6521230867346972,2.12163801020408,2.052358418367348,1.2130512117346939,1.344097895408165,1.126969515306122,1.132614158163264,1.0966501913265319,1.198826084183679,1.1473073979591888,1.3524401147959217,1.9429216836734753,1.7316430484693903,1.9559418367346986,1.9448031887755128,1.8819197704081638,1.7335760841836745,1.9500632653061274,1.4752650510204113,1.6954720025510213,1.8036673469387736,1.7874350127551075,2.015448915816325,1.827910586734692,1.734903443877549,1.715600765306121,1.799247448979596,1.646804528061228,1.8017094387755144,1.787060650510206,1.7362989158163273,1.7478079719387765,1.5401777423469412,1.6285335459183656,1.556446619897958,1.637797193877553,1.4453494897959196,1.3439175382653055,1.5034484056122501,1.6379366709183678,1.3735795280612244,1.526875127551019,1.5063369260204098,1.4679177295918358,1.4372770408163262,1.5984941326530588,1.5005616071428598,1.5539877551020425,1.5381739795918357,1.5738329719387778,1.3524583545918354,1.3117283801020427,1.4586712372448964,1.4060186862244919,2.9871137117346933,2.8392343112244873,3.1286303571428604,2.8895421556122507,2.4007118622449006,1.782982908163266
JAK2g2,1.3264444515306124,0.4465695153061269,0.15972646683673375,-0.0024523596938763603,0.0,-0.010101339285714772,0.5740857142857152,-0.0937496811224463,0.15850829081632511,0.609598596938774,0.03973909438775536,0.11409266581632593,0.16514464285714325,0.18160204081632614,0.1683877551020423,2.71507895408163,3.555300829081631,2.200197321428572,2.217236096938773,2.8312247448979626,2.880090433673473,2.4589063137755076,2.3891755102040797,2.284875000000003,2.2700064413265295,3.1324838647959155,3.0521823979591858,2.0000720663265312,2.218181250000004,1.9037403698979602,2.0306756377551025,1.9378147959183636,2.046800063775514,2.1160438775510215,2.2850828443877553,3.1124269132653097,2.789835778061221,3.0912626913265306,2.888677168367348,2.7813468750000006,2.7789594387755088,2.9110341198979626,2.355026530612246,2.5671116071428557,2.7403038265306137,2.9123121173469393,2.940722895408161,2.837790816326528,2.7518305484693855,2.7607372448979604,2.760862053571426,2.726556632653061,2.8777084183673445,2.757050255102037,2.742707270408161,2.7119913265306153,2.41499859693878,2.597570025510201,2.557520599489795,2.6077961734693886,2.201657844387757,2.2374633928571406,2.4239692602040854,2.5808294005102006,2.339606632653055,2.3943459821428554,2.4533827806122446,2.3699417091836743,2.193494770408165,2.4054618622448984,2.4297668367346965,2.472917984693879,2.5177198341836764,2.4052007015306103,2.3145323341836708,2.3708336096938787,2.3149264668367344,2.319895790816325,3.7511220663265306,3.8702301658163236,4.120616836734698,4.010550510204087,3.036767091836733,2.142263137755098
IFNGR2g3,2.1304058673469406,0.32047468112244815,0.04293163265306532,-0.0038596938775476985,-0.010101339285714772,0.0,1.0266252551020436,0.12189610969388198,0.5381478316326493,0.8692068877551016,0.26505676020408586,0.23322283163265212,0.31699668367346945,0.18717283163265463,0.16123042091836837,2.4655809948979552,2.994593494897959,2.032614987244898,1.9187662627550992,2.4895799107142906,2.5532549744898,1.805095854591837,2.017521301020409,1.9511270408163313,2.072142857142854,2.476201530612247,2.4026938137755103,1.6963803571428606,1.9209707908163267,1.472001785714287,1.602452678571428,1.4891418367346922,1.6258114795918353,1.6972740433673472,1.816203635204083,2.606419579081635,2.2730628188775484,2.529636607142855,2.561182334183677,2.4651301658163263,2.2577864795918394,2.276058035714289,1.9309441964285696,2.2899980229591854,2.1960964923469426,2.2819266581632647,2.2494499362244937,2.2076366071428595,2.0918263392857135,2.017842410714284,2.144101594387756,2.16661179846939,2.2877510841836752,2.3299960459183673,2.2268968112244885,2.352627742346943,1.990747512755103,2.0680314413265286,2.0771038903061196,2.0056794642857163,1.825791135204085,1.7055623086734713,1.7642838010204116,1.9490501913265277,1.7801805484693887,1.8932355229591806,1.9625035714285737,1.8243218749999954,1.9127968112244922,1.9730764030612242,1.9741251275510194,2.0234012755102064,1.9430812499999988,1.9086527423469413,1.8144437500000024,1.8107825255102057,1.9651035076530619,1.809454081632655,3.7551209821428593,3.6634853316326534,4.002078252551019,3.3609619260204084,2.565303507653063,1.8926058035714277
STAT1g1,0.31192729591837143,1.9268867346938823,1.07032181122449,1.2921211096938787,0.5740857142857134,1.0266252551020418,0.0,0.44644878826531276,0.9797223852040791,0.5052720663265315,0.4064188137755149,0.5956442602040841,0.5993587372449003,0.6564911352040834,0.6543924744897982,4.629627423469389,5.990696173469393,4.37038016581633,4.287093941326534,4.032088839285715,4.22498577806123,4.16346415816327,4.229430229591836,3.5678453443877576,3.389629910714289,5.034938584183676,5.147658992346939,4.021442410714284,4.2443953443877565,3.6527638392857167,3.935727232142858,3.7887476403061253,3.8731235331632714,4.1718392219387805,4.046462563775508,5.465691007653062,5.120521747448985,5.218061160714287,5.2299100127551075,5.0938953443877555,5.06914853316327,4.826938839285715,4.166828125000004,4.768750701530612,4.647827295918367,5.042979336734698,4.836993239795918,4.7228830357142915,4.701479017857144,4.807588839285719,4.793666772959186,4.831101977040818,5.116641262755104,4.969179974489796,5.014568239795919,5.010886670918373,4.636934566326536,4.89696849489796,4.715762818877552,4.475344642857143,3.9939688137755116,4.152649362244903,4.227123979591839,4.62179036989796,4.448730102040814,4.114347576530614,4.3016781250000005,4.388137053571429,4.197880739795918,4.477404081632654,4.40038405612245,4.5530914540816365,4.574996428571433,4.489911670918373,4.4353401785714315,4.358213329081638,4.52486243622449,4.498450510204085,5.228708035714289,6.025513010204085,5.944877806122454,5.676448979591841,5.069834311224492,3.8595709821428574
JAK2g3,1.1119137755102013,0.9854263392857181,0.3206114158163249,0.2636294642857191,-0.09374968112244808,0.1218961096938802,0.44644878826531276,0.0,0.31605886479591483,0.7549554209183693,-0.01840720663265394,0.0979994897959191,0.0028233418367360485,0.15690886479591803,0.054763329081632506,3.428204528061224,4.380567028061227,3.02408227040816,3.012561670918368,3.4024971938775526,3.5138160076530607,2.9694818877550997,3.148172959183677,2.8970318239795905,2.731638265306122,3.7718281887755065,3.814523596938775,2.6942726403061226,3.022531823979593,2.542422193877554,2.6521793367346955,2.56485286989796,2.6429193877551054,2.77326007653061,2.9334271683673467,3.9268899872448966,3.6882113520408186,3.7389820153061226,3.7247183673469397,3.554509948979595,3.5415787627550994,3.6009065688775532,2.90819585459184,3.3932934311224496,3.412482525510205,3.5490439413265324,3.584382844387756,3.4892945153061223,3.38946237244898,3.3399628188775505,3.3845907525510217,3.4241134566326554,3.5408308673469424,3.4797945790816325,3.526401594387755,3.5847231505102055,3.1701241709183687,3.3363768494897936,3.3664805484693847,3.294827997448982,2.9039771683673496,2.874213966836736,3.0359135841836764,3.2191393494897955,3.0239322066326526,2.9375028061224473,3.0769739795918323,3.0092047831632645,2.9414328443877533,3.135768686224486,3.1587861607142873,3.2282716836734675,3.2239485331632682,3.130395025510202,3.0034672831632694,3.042231058673474,3.173042665816327,3.1568682397959176,4.3748663903061225,4.55818386479592,4.69649241071429,4.78264483418368,3.711139540816328,2.8778980867346906
IFNGR2g4,1.1118561224489802,0.7967905612244905,0.6192256377551004,0.4614686862244888,0.15850829081632511,0.5381478316326493,0.9797223852040808,0.3160588647959166,0.0,0.588288392857141,0.049813265306124066,0.8548387117346934,0.43732193877550785,0.9385012117346925,0.9274431760204038,3.1871187499999962,4.427990625000003,2.8902058673469355,2.539950892857142,3.674648915816327,3.475292729591839,3.3627961096938783,3.0156809311224464,3.1377304209183663,2.9710774872448944,4.11868303571428,4.264369068877553,2.277905612244897,2.984558545918368,2.7139614158163248,2.7115123086734663,2.8000483418367317,2.7373304846938744,2.570961798469387,2.750632015306117,3.735460459183674,3.3516380739795935,3.8469524872448986,3.445876339285711,3.5026929209183635,3.6296492346938756,3.796120790816328,3.0050069515306106,3.389270153061222,3.243921747448976,3.5824237882653023,3.7655345663265294,3.7143431122448973,3.7513015943877512,3.5365957908163246,3.6295643494897973,3.4765995535714254,3.5640263392857108,3.353083801020407,3.479153316326528,3.707199872448978,3.2381196428571464,3.4000160714285705,3.2823260204081635,3.363217219387753,2.8778257653061203,3.163412563775509,3.3263403061224466,3.5124785714285665,3.2664464285714274,3.0883076530612215,3.226422576530606,3.2062627551020384,3.0254033163265284,3.0908141581632655,3.0639003826530598,3.032801530612243,3.272744005102041,3.24048112244898,3.107428380102043,2.882445280612245,2.8929006377550976,2.98629183673469,3.8799243622448962,4.119929336734689,4.1893566326530625,5.1219746811224525,3.571972512755103,2.5231310586734637
STAT1g3,0.657546428571429,0.8620339923469409,0.4249659438775488,0.7848308673469404,0.609598596938774,0.8692068877551016,0.5052720663265333,0.7549554209183711,0.588288392857141,0.0,0.35208482142856923,0.8976133928571421,0.6418278698979591,0.9184415178571399,0.8246616071428541,3.22033405612245,4.442715306122452,2.9476836734693883,2.5562818239795924,2.5406610969387735,2.6739267857142863,3.056648915816325,2.4740743622448953,2.3408144770408192,2.0917052933673475,3.680545216836734,3.836831250000003,2.319139668367349,2.61807072704082,2.2314517219387753,2.418802614795915,2.4771636479591805,2.555852040816326,2.35217085459184,2.3687691964285698,3.735463265306123,3.281484630102039,3.607455293367348,3.389185395408166,3.5521707270408136,3.5614301658163257,3.7539673469387793,2.8577535076530616,3.465894834183672,3.1870308035714316,3.4012984693877577,3.2617967474489795,3.31827091836735,3.422213775510201,3.405317346938773,3.503023405612243,3.2533804846938814,3.5739416454081656,3.2658897321428526,3.3775467474489815,3.4706276785714323,3.263922448979592,3.4832470025510176,2.8679600765306112,2.836001275510199,2.6450754464285744,2.957190369897962,2.9025931122448974,3.0633438775510164,3.1940054846938715,2.8917885841836757,2.961834757653058,3.0465186862244913,3.04903112244898,3.2041919642857124,2.7311094387755084,2.8452793367346914,3.157496811224494,3.094937053571428,3.011746811224487,2.6209637117346922,2.8195346938775536,2.810154017857144,3.9218021683673427,4.260088392857142,4.330615688775509,4.6617837372449,4.023203443877552,2.584521364795915
